工廠名稱,工廠登記編號,工廠設立許可案號,工廠地址,工廠市鎮鄉村里,工廠負責人姓名,統一編號,工廠組織型態,工廠設立核准日期,工廠登記核准日期,工廠登記狀態,產業類別,主要產品,WebURL,ProductName,Material,Longitude,Latitude
家徵工程工業股份有限公司,99630722,07510004056215,新竹縣竹北市泰和里中華路676巷17號,新竹縣竹北市泰和里,朱秀卿　　　,22053521,股份有限公司,0750815,0770121,生產中,29機械設備製造業,292其他專用機械設備,,沖床,,121.006195,24.8464813
立丞企業有限公司,S0400013,,新竹縣湖口鄉長嶺村中平路二段647號1、2樓,新竹縣湖口鄉長嶺村,張桂煙,28385998,有限公司,,1090525,生產中,15紙漿、紙及紙製品製造業、15紙漿、紙及紙製品製造業,152瓦楞紙板及紙容器,,,,,
一見成企業股份有限公司,99630890,07310004082213,新竹縣竹東鎮大鄉里中豐路３段３０４巷２號,新竹縣竹東鎮大鄉里,陳金星　,48000140,股份有限公司,0731128,0740126,生產中,14木竹製品製造業,140木竹製品,,扇片、竹製品,,121.0796,24.7244167
富高企業有限公司泰和廠,04000737,,新竹縣竹北市泰和里泰和路86號2樓,新竹縣竹北市泰和里,羅國君,24849666,有限公司,,1071211,生產中,22塑膠製品製造業,220塑膠製品,,塑膠皮，布，板，管材製造業,塑膠捲材,121.010086,24.847868
東陽機電有限公司,04000887,,新竹縣湖口鄉湖口村祥喜路201號,新竹縣湖口鄉湖口村,張正聰,85090220,有限公司,,1090623,生產中,28電力設備及配備製造業、28電力設備及配備製造業,281發電、輸電及配電機械,,,,,
世界先進積體電路股份有限公司晶圓一廠,95A00267,,新竹科學園區新竹縣寶山鄉雙溪村園區三路123號,新竹縣寶山鄉雙溪村,方略,84149358,股份有限公司,,0840124,生產中,26電子零組件製造業,261半導體,,晶圓代工,,121.00193,24.7717762
永信容器工業股份有限公司,99630216,07710000255452,新竹縣湖口鄉鳳山村文化路２２號,新竹縣湖口鄉鳳山村,尼廷,22356449,股份有限公司,0770824,0770914,生產中,22塑膠製品製造業,220塑膠製品,http://www.yunghsin.com.tw,塑膠容器,,121.0134,24.86717
沛鴻生技股份有限公司,99631474,,新竹縣新豐鄉福興村３鄰圓山子４３之１號１樓,新竹縣新豐鄉福興村,陳新桂,80606310,股份有限公司,,0920423,生產中,18化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,184塑膠及合成橡膠原料,,,,,
聯欣國際精密股份有限公司,99630282,07610004059287,新竹縣關西鎮東光里十六張１１７號,新竹縣關西鎮東光里,陳友佳,80094535,股份有限公司,0760925,0770609,生產中,25金屬製品製造業、30汽車及其零件製造業、31其他運輸工具及其零件製造業,254金屬加工處理、303汽車零件、312機車及其零件,,碳鋼鍛件,,121.177315,24.7802086
采頤股份有限公司,04000214,,新竹縣關西鎮東平里大東坑66-2號,新竹縣關西鎮東平里,吳宥樺,22401177,股份有限公司,,1011207,生產中,22塑膠製品製造業,220塑膠製品,,覆蓋式膠膜,ＰＥＴ膜、熱熔膠,121.165329,24.82817
昇鑫精密有限公司,99700553,,新竹縣湖口鄉勝利村工業四路3號1樓、4樓,新竹縣湖口鄉勝利村,陳麗美,27493800,有限公司,,0980206,生產中,25金屬製品製造業,254金屬加工處理,,金屬製品,,121.015419,24.8634167
新竹縣橫山地區農會,99630053,07210000042939,新竹縣橫山鄉橫山村１０鄰中豐路一段４７３號,新竹縣橫山鄉橫山村,徐釗泓,48208900,農會組織,0580101,0720401,生產中,08食品製造業,086碾榖、磨粉及澱粉製品,,糙米、白米（政府委託加工）,,121.121658,24.720438
聯瑩工藝企業有限公司一廠,04000163,,"新竹縣竹北市新社里環北路3段219號 2、3樓",新竹縣竹北市新社里,張明珠,02848565,有限公司,,1010604,生產中,22塑膠製品製造業、25金屬製品製造業、26電子零組件製造業,220塑膠製品、259其他金屬製品、269其他電子零組件,,聖誕飾品,,120.999062,24.84894
信音企業股份有限公司,99630894,08710004200169,新竹縣湖口鄉中正村中正路二段２０９號(門牌整編),新竹縣湖口鄉中正村,甘信男　　,47122187,股份有限公司,0870504,0881105,生產中,28電力設備及配備製造業,289其他電力設備及配備,http://www.singatron.com.tw,連接器,,121.050789,24.89219
"健喬企業股份有限公司 新竹廠",04000186,,新竹縣湖口鄉鳳山村中華路2號,新竹縣湖口鄉鳳山村,陳光雄,53738817,股份有限公司,,1010824,生產中,29機械設備製造業,291金屬加工用機械設備、292其他專用機械設備、293通用機械設備,,,,,
台灣微創醫療器材股份有限公司竹北廠,95A01226,,新竹科學園區新竹縣竹北市生醫路2段26號1樓,新竹縣竹北市,梁晃千,25098389,股份有限公司,,1050616,生產中,29機械設備製造業、33其他製造業,292其他專用機械設備、293通用機械設備、332醫療器材及用品,,喜瑞骨人工骨替代物、脊椎固定系統、椎間融合裝置,,121.048645,24.80529
揚格食品股份有限公司,99700349,,新竹縣新豐鄉埔和村埔頂１７９號１樓,新竹縣新豐鄉埔和村,黎重利,27859146,股份有限公司,,0950921,生產中,08食品製造業、09飲料製造業,089其他食品,,布丁、優格、優酪乳,,120.997719,24.9296875
佳旺機械工業社,S0400016,,新竹縣湖口鄉德盛村19鄰德豐路105巷6號,新竹縣湖口鄉德盛村,吳鳳櫻,92952363,獨資,,1090520,生產中,29機械設備製造業、25金屬製品製造業、29機械設備製造業,291金屬加工用機械設備、251金屬刀具、手工具及模具,,,,,
亞旭光源股份有限公司,04000452,,新竹縣竹北市泰和里中和街６２巷１７弄３號,新竹縣竹北市泰和里,蕭天恩,24895529,股份有限公司,,1040930,生產中,28電力設備及配備製造業、28電力設備及配備製造業,284照明設備及配備,,照明設備,,121.012222,24.84866
迅能半導體股份有限公司,99700505,,新竹縣湖口鄉勝利村光復路32之1號3樓、5樓及32之2號,新竹縣湖口鄉勝利村,葉樹泉,28877255,股份有限公司,,0970620,生產中,26電子零組件製造業,264光電材料及元件、261半導體、269其他電子零組件,,蕭特基＆小訊號二極體,,121.021507,24.86736
美麗新奇有限公司,04000286,,新竹縣橫山鄉橫山村站前街9巷2號,新竹縣橫山鄉橫山村,曾國照,86995337,有限公司,,1021219,生產中,23非金屬礦物製品製造業,231玻璃及其製品,,玻璃瓶,,121.116341,24.7195625
加力興股份有限公司,99630702,08410004016423,新竹縣湖口鄉和興村德興路336號,新竹縣湖口鄉和興村,黎玄斌　　,22082960,股份有限公司,0840515,0840526,生產中,29機械設備製造業、25金屬製品製造業,293通用機械設備、251金屬刀具、手工具及模具、259其他金屬製品,,機械（粉末成型機、加工機）機械零件、五金零件,,121.043884,24.9133224
加力興股份有限公司新竹廠,99700147,,新竹縣湖口鄉湖南村10鄰光復路6號,新竹縣湖口鄉湖南村,黎玄斌,22082960,股份有限公司,,0930823,生產中,25金屬製品製造業、29機械設備製造業,259其他金屬製品、291金屬加工用機械設備、292其他專用機械設備,,機械（粉未成型機）、機械零件（模具）,,121.039459,24.8730373
偉詮電子股份有限公司,95A00148,,新竹科學園區新竹縣寶山鄉工業東九路22號1、2、3樓、24號1、2樓、26號1樓,新竹縣寶山鄉,林錫銘,22099499,股份有限公司,,0780923,生產中,26電子零組件製造業,269其他電子零組件,http://www.weltrend.com.tw,１、研發生產銷售數位類比混合式特殊應用ＩＣ２、研發生產銷售數位式積體電路、類比式ＩＣ３、兼營與本公司業務相關之進出口貿易業務,,121.007027,24.7729073
宏力生化科技股份有限公司,99700564,,新竹縣湖口鄉勝利村光復北路９１號,新竹縣湖口鄉勝利村,陳欽偉,16759113,股份有限公司,,0980402,生產中,33其他製造業、22塑膠製品製造業,339未分類其他製品、220塑膠製品,http://grabio.com.tw/,全生物可分解塑膠粒，生分解塑膠製品（膜袋類、農業資材類）符合ＥＮ１３４３２，ＡＳＴＭＤ６４００標準，並獲歐、美、日、臺認証,,121.015961,24.8638916
億聲鋼鐵有限公司,99700556,,新竹縣竹北市新社里新工二路１７６號１、２樓,新竹縣竹北市新社里,許榮先,84578511,有限公司,,0980223,生產中,25金屬製品製造業,254金屬加工處理、259其他金屬製品,,鋼鐵加工,,120.998337,24.8469086
岳通企業有限公司,04000701,,新竹縣湖口鄉鳳凰村中華路120號2樓(部分使用),新竹縣湖口鄉鳳凰村,吳均達,29137379,有限公司,,1070808,生產中,29機械設備製造業,293通用機械設備,,中心定位機皮帶輪,,121.011757,24.8753681
啟碁科技股份有限公司,95C00509,,新竹科學園區新竹縣寶山鄉雙溪村園區二路20號　,新竹縣寶山鄉雙溪村,謝宏波,97331723,股份有限公司,,0910205,生產中,27電腦、電子產品及光學製品製造業,272通訊傳播設備,http://www.wnc.com.tw,衛星通訊系列產品、移動式通訊系列產品,,120.999985,24.7777863
元寧企業有限公司,99630817,,新竹縣新豐鄉松林村１５鄰康樂路１段１６９之６號１、２樓,新竹縣新豐鄉松林村,馮天安,86069230,有限公司,,0910709,生產中,29機械設備製造業,293通用機械設備,http://www.taiwancompressor.com,通用機械設備,,120.989189,24.8680248
奇力新電子股份有限公司,99630776,06110000103391,新竹縣湖口鄉和興村德興路301巷29號,新竹縣湖口鄉和興村,陳泰銘,47006693,股份有限公司,0580101,0620601,生產中,25金屬製品製造業、26電子零組件製造業、28電力設備及配備製造業,254金屬加工處理、262被動電子元件、264光電材料及元件、269其他電子零組件、281發電、輸電及配電機械、283電線及配線器材、285家用電器、289其他電力設備及配備,,電感器,,121.041824,24.9146786
國慶電機有限公司,99700107,,新竹縣湖口鄉東興村長威一街45號(門牌整編),新竹縣湖口鄉東興村,劉慶藏,89688740,有限公司,,0930308,生產中,28電力設備及配備製造業,281發電、輸電及配電機械,,電力機械器材,,121.052284,24.9122429
詮盈材料股份有限公司,04000693,,新竹縣竹北市竹北里台元一街8號2樓之13,新竹縣竹北市竹北里,劉家琪,53641335,股份有限公司,,1070723,生產中,29機械設備製造業,292其他專用機械設備,,機臺組裝,,121.019615,24.8413944
泰森茶業有限公司,99631220,05810000005189,新竹縣關西鎮南和里下南片６２號,新竹縣關西鎮南和里,徐韶　,47235204,有限公司,0580101,0590701,生產中,08食品製造業,089其他食品,,綠茶、紅茶、包種茶,,121.121391,24.809885
吉勝機械有限公司,04000628,,新竹縣湖口鄉中正村中正路二段203巷11號,新竹縣湖口鄉中正村,邱創泰,12723277,有限公司,,1061225,生產中,29機械設備製造業、29機械設備製造業,292其他專用機械設備,http://wwwtrade-taiwan.ong/WebSiteTemp/bl.asp?v_id=127232,絞線機,,121.051453,24.8930264
光磊科技股份有限公司光復廠,04000723,,新竹縣湖口鄉湖南村光復北路6號,新竹縣湖口鄉湖南村,王虹東,47255947,股份有限公司,,1071105,生產中,26電子零組件製造業,264光電材料及元件,http://www.opto.com.tw,發光元件、感測元件、系統產品,,121.038704,24.876339
東源企業股份有限公司湖口廠,04000564,,新竹縣湖口鄉湖口村祥喜路211號,新竹縣湖口鄉湖口村,詹媛涵,53867038,股份有限公司,,1060222,生產中,30汽車及其零件製造業、30汽車及其零件製造業,303汽車零件,,主要產品擾流板進貨包裝,,121.078308,24.8796463
微相科技股份有限公司一廠,95A00184,,新竹科學園區新竹縣寶山鄉雙溪村研發一路11、13號1樓,新竹縣寶山鄉雙溪村,鄭復寧,22099792,股份有限公司,,0810108,生產中,26電子零組件製造業,269其他電子零組件,,光罩護膜,,121.002396,24.7749348
芝和精密股份有限公司,04000720,,新竹縣芎林鄉五龍村五和街228-2號,新竹縣芎林鄉五龍村,田丸讓司,53991607,股份有限公司,,1071026,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品,,半導體零件耗材、半導體零件耗材加工,,121.125786,24.7357025
奎欣企業有限公司新埔廠,04000914,,新竹縣新埔鎮內立里關埔路內立段263號,新竹縣新埔鎮內立里,陳裕,84216840,有限公司,,1090930,生產中,25金屬製品製造業、25金屬製品製造業,252金屬結構及建築組件、254金屬加工處理、259其他金屬製品,,,,,
特耐第國際有限公司湖口廠,04000926,,新竹縣湖口鄉鳳山村仁德路8號,新竹縣湖口鄉鳳山村,陳建安,27677357,有限公司,,1091118,生產中,30汽車及其零件製造業,303汽車零件,,,,,
凌威航太科技股份有限公司,95A00521,,新竹科學園區新竹縣寶山鄉工業東九路3-1號1樓,新竹縣寶山鄉,林文偉,12769786,股份有限公司,,0910920,生產中,26電子零組件製造業、31其他運輸工具及其零件製造業,261半導體、269其他電子零組件、319未分類其他運輸工具及其零件,http://linkwave.com.tw,航電發射器、微波電源供應器、高壓電源供應器、雷達收發機等,,121.007027,24.7729073
晟維企業有限公司,99630586,07710000172669,新竹縣新埔鎮上寮里義民路二段４９２號,新竹縣新埔鎮上寮里,劉賢信　,22933097,有限公司,0770215,0770215,生產中,25金屬製品製造業,259其他金屬製品,,五金零件,,121.048531,24.83821
安可光電股份有限公司二廠,04000497,,新竹縣湖口鄉湖南村光復北路10號1樓,新竹縣湖口鄉湖南村,葉垂景,28812887,股份有限公司,,1050311,生產中,25金屬製品製造業,254金屬加工處理,http://aimcore.com.tw,非金屬製品表面處理,塑膠基板,121.037773,24.8759079
智晟工程股份有限公司,04000871,,新竹縣湖口鄉信義村成功路561號,新竹縣湖口鄉信義村,許正鐘,84553589,股份有限公司,,1090603,生產中,25金屬製品製造業,253金屬容器,,,,,
美商昆騰全球科技有限公司台灣分公司,04000105,,新竹縣湖口鄉鳳山村大同路9號,新竹縣湖口鄉鳳山村,邱志鴻,53013052,外國公司之分公司,,1001130,生產中,25金屬製品製造業,254金屬加工處理,,半導體／ＰＶＤ設備ＰＡＲＴＳ清洗和買賣服務,,120.99839,24.869482
吉比鮮釀股份有限公司竹北廠,04000823,,新竹縣竹北市竹北里惟馨街79號,新竹縣竹北市竹北里,葛長林,27981688,股份有限公司,,1090106,生產中,09飲料製造業、09飲料製造業,091酒精飲料,,,,,
協力新工業有限公司,99630623,08610004200150,新竹縣湖口鄉和興村德興路932巷139號1樓,新竹縣湖口鄉和興村,范成琮　　　,97247654,有限公司,0860421,0860520,生產中,29機械設備製造業,291金屬加工用機械設備,,自動化機械設備,,121.042152,24.9263954
盟英科技股份有限公司3號廠房,95A01267,,新竹科學園區新竹縣寶山鄉研發一路3號1、2樓,新竹縣寶山鄉,孫弘,54953588,股份有限公司,,1090707,生產中,29機械設備製造業,292其他專用機械設備,,,,,
嘉普科技股份有限公司二廠,04000725,,新竹縣湖口鄉八德路二段656號3、4樓,新竹縣湖口鄉,宋維哲,55876526,股份有限公司,,1071119,生產中,28電力設備及配備製造業、28電力設備及配備製造業,282電池,,電池模組,,121.078392,24.88477
鑫合興企業股份有限公司二廠,99700123,,新竹縣新豐鄉新豐村紅毛23之3號,新竹縣新豐鄉新豐村,吳家源,89326607,股份有限公司,,0930503,生產中,25金屬製品製造業,252金屬結構及建築組件,,Ｈ型鋼、鍍鋅管、金屬壁板、烤漆鋼板、鍍鋅鋼帶、ＰＣ耐力板不鏽鋼板、不鏽鋼管、鍍鋁鋅烤漆鋼捲、方管、黑鐵管、螺絲點焊網、烤漆壓花鋼捲、鋁窗、不鏽鋼角鐵、復合式防火鋼板琉璃瓦烤漆ＰＵ鋼板、雙層烤漆ＰＵ鋼板、烤漆１２２門片,ＰＵ　不鏽鋼　鍍鋅　鐵管　防火鋼板　雙層烤漆,120.986443,24.91758
安益隆展業股份有限公司,04000283,,新竹縣竹東鎮三重里中興路一段147巷129號,新竹縣竹東鎮三重里,翁地,89353940,股份有限公司,,1021210,生產中,29機械設備製造業,292其他專用機械設備,,機架，金屬零件、自動化設備,,121.072723,24.75016
