工廠名稱,工廠登記編號,工廠設立許可案號,工廠地址,工廠市鎮鄉村里,工廠負責人姓名,統一編號,工廠組織型態,工廠設立核准日期,工廠登記核准日期,工廠登記狀態,產業類別,主要產品,WebURL,ProductName,Material,Longitude,Latitude
元祖礦業開發有限公司,13000053,,屏東縣高樹鄉泰山村山下路11-9號,屏東縣高樹鄉泰山村,張宏駿,27382380,有限公司,,1000715,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品,,,,,
廣筌有限公司,13000341,,屏東縣屏東市清溪里15鄰和生路三段850號、850-1號,屏東縣屏東市清溪里,陳德勲,53400096,有限公司,,1050903,生產中,08食品製造業,089其他食品,,加工,,120.466866,22.6633644
冠統實業企業有限公司,S1300186,,屏東縣萬丹鄉萬生村萬壽路一段32號,屏東縣萬丹鄉萬生村,李徐惠絹,97365379,有限公司,,1090616,生產中,25金屬製品製造業,252金屬結構及建築組件,,,,,
宜孟企業有限公司屏南廠,99666129,08410099651429,屏東縣枋寮鄉東海村研發路77號,屏東縣枋寮鄉東海村,廖益,23542098,有限公司,0840830,0850424,生產中,22塑膠製品製造業,220塑膠製品,,塑膠粒,,120.573982,22.4078789
合禹車體興業有限公司,99665959,08810013068757,屏東縣屏東市長安里光復路219號,屏東縣屏東市長安里,謝東州,70679398,有限公司,0881126,0881206,生產中,30汽車及其零件製造業,302車體,,車斗、車框昇降設備,,120.480713,22.6702461
競陽清潔科技有限公司,13000649,,屏東縣屏東市前進里大溪路335-22號,屏東縣屏東市前進里,蔡森堯,50881182,有限公司,,1091005,生產中,19其他化學製品製造業,193清潔用品,,,,,
俊利企業行,S1300159,,屏東縣麟洛鄉新田村民族路新圍巷22-1號,屏東縣麟洛鄉新田村,簡鈺霖,40790108,獨資,,1090609,生產中,08食品製造業,083蔬果加工,,,,,
穩發行,S1300232,,屏東縣屏東市玉成里公成路513巷92-1號,屏東縣屏東市玉成里,張智慧,10192386,獨資,,1090620,生產中,08食品製造業,089其他食品,,,,,
至茂企業股份有限公司屏東廠,99665961,08510013056872,屏東縣屏東市清溪里建國路332巷44弄51號「食用澱粉廠區」,屏東縣屏東市清溪里,林柯端陽,23356734,股份有限公司,0850423,0851228,生產中,08食品製造業,086碾榖、磨粉及澱粉製品、089其他食品,,食品用澱粉,,120.467682,22.663805
淯勝鋼構工程有限公司,13000001,,屏東縣新園鄉南龍村南龍路426號,屏東縣新園鄉南龍村,洪育男,80379075,有限公司,,0991011,生產中,25金屬製品製造業、25金屬製品製造業,252金屬結構及建築組件、254金屬加工處理,,鋼構工程業,,120.448586,22.4820881
吉品膠業有限公司,13000339,,屏東縣新園鄉新園村媽祖路407巷1弄13號,屏東縣新園鄉新園村,傅子訓,42786690,有限公司,,1050826,生產中,21橡膠製品製造業,210橡膠製品,,ＭＯＣＡ（鄰氯苯胺）,,120.448326,22.5165043
興禽食品股份有限公司,99699680,,屏東縣高樹鄉新南村大和路1-10號,屏東縣高樹鄉新南村,林永麗,56701362,股份有限公司,,0941117,生產中,08食品製造業,081肉類加工,,冷凍禽肉、罐頭、醃漬食品,,120.565948,22.78493
冠泓食品股份有限公司,13000263,,屏東縣屏東市橋南里工業路14號一、二樓,屏東縣屏東市橋南里,李思瑩,54023260,股份有限公司,,1040504,生產中,08食品製造業,081肉類加工、089其他食品,,調理肉品,,120.498871,22.6614742
久堂工業股份有限公司,99665958,08010013056767,屏東縣長治鄉崙上村中興路328號,屏東縣長治鄉崙上村,李秀珍,23693243,股份有限公司,0800514,0801210,生產中,14木竹製品製造業,140木竹製品,,窗簾（木質）、木片,,120.529884,22.6892014
