工廠名稱,工廠登記編號,工廠設立許可案號,工廠地址,工廠市鎮鄉村里,工廠負責人姓名,統一編號,工廠組織型態,工廠設立核准日期,工廠登記核准日期,工廠登記狀態,產業類別,主要產品,WebURL,ProductName,Material,Longitude,Latitude
媽宮食品工廠,99667096,,澎湖縣馬公市案山里22鄰文安路65號,澎湖縣馬公市案山里,洪振章,18232690,獨資,,0920924,生產中,08食品製造業,089其他食品,,黑糖糕、花生酥、餅乾,,119.579956,23.56124
菊之鱻食品有限公司,16000004,,澎湖縣馬公市鎖港里1062號,澎湖縣馬公市鎖港里,黃福龍,28133207,有限公司,,1020619,生產中,08食品製造業、08食品製造業,089其他食品,http://jutsuxian.com.tw,海鮮乾貝醬,,119.603493,23.523632
海寶實業有限公司澎湖工廠,99710013,,澎湖縣馬公市烏崁里1鄰128之1號,澎湖縣馬公市烏崁里,蘇登山,15297944,有限公司,,0990513,生產中,33其他製造業,339未分類其他製品,,珊瑚圓珠、戒面、項鍊、雕刻等,,119.616447,23.54892
臺灣省水產試驗所澎湖分所試驗工廠,99667052,06010000096249,澎湖縣馬公市光復里興港北街8號,澎湖縣馬公市光復里,謝恆毅,96574068,獨資,0580101,0610920,生產中,08食品製造業,089其他食品,,水產乾製食品、冷藏食品（水產）,,119.570641,23.5667057
航聲船舶事業有限公司,99710014,,澎湖縣馬公市西文里西文澳97之9號,澎湖縣馬公市西文里,許記太,53035181,有限公司,,0990729,生產中,31其他運輸工具及其零件製造業,311船舶及浮動設施,,船舶修理,,119.588058,23.5692158
友邦製冰廠,99667086,07310016034411,澎湖縣七美鄉南港村三鄰南滬一四號,澎湖縣七美鄉南港村,陳聯勝　　　,96681905,獨資,0730914,0731229,生產中,33其他製造業,339未分類其他製品,,漁業用冰、海產品冷藏,,119.421196,23.1965637
新澎發造船廠,99667013,07610016001742,澎湖縣馬公市案山里2之31號,澎湖縣馬公市案山里,蘇武忠,08177769,獨資,0760114,0760902,生產中,31其他運輸工具及其零件製造業,311船舶及浮動設施,,漁船修理,,119.567795,23.5716743
新東和造船廠,99667014,07610016043618,澎湖縣白沙鄉赤崁村3號,澎湖縣白沙鄉赤崁村,吳嘉獲,05377341,獨資,0761022,0761210,生產中,31其他運輸工具及其零件製造業,311船舶及浮動設施,,玻璃纖維船建造及修理,,119.6038,23.6646423
立源鐵工廠,99667038,07410016026639,澎湖縣白沙鄉赤崁村漁港新村36號,澎湖縣白沙鄉赤崁村,蕭安丞　　,96623498,獨資,0740706,0740919,生產中,25金屬製品製造業、25金屬製品製造業,252金屬結構及建築組件、259其他金屬製品、293通用機械設備,,漁船鐵器配件,,119.601738,23.6670685
興周造船廠,99667042,07510016047190,澎湖縣馬公市案山里大案山九六之五號,澎湖縣馬公市案山里,張穎慶,96574948,獨資,0751118,0751201,生產中,31其他運輸工具及其零件製造業,311船舶及浮動設施,,漁船建造，漁船修理,,119.578064,23.5597286
富勝造船廠,99667080,,澎湖縣馬公市案山里96-7號,澎湖縣馬公市案山里,吳澄富,96219342,獨資,,0761029,生產中,31其他運輸工具及其零件製造業,311船舶及浮動設施,,船舶修理，建造,,119.577354,23.5595856
豪信預拌混凝土股份有限公司林投廠,99667100,,澎湖縣湖西鄉林投村3鄰122-1號,澎湖縣湖西鄉林投村,林國強,70529504,股份有限公司,,0940803,生產中,17石油及煤製品製造業、17石油及煤製品製造業、23非金屬礦物製品製造業,170石油及煤製品、239其他非金屬礦物製品,,其他石油及煤製品、水泥製品,,119.649879,23.5705013
泰永企業行瀝青混凝土廠,99667020,07810016295470,澎湖縣湖西鄉隘門村127-3號,澎湖縣湖西鄉隘門村,劉崇保,96659087,獨資,0781111,0800205,生產中,17石油及煤製品製造業,170石油及煤製品,,瀝青混凝土,,119.6326,23.5571957
國福造船廠,99667005,,澎湖縣白沙鄉赤崁村大赤崁7-9號,澎湖縣白沙鄉赤崁村,柯少嵐,96651310,合夥,,0901003,生產中,31其他運輸工具及其零件製造業,311船舶及浮動設施,,船舶及其零件,,119.601318,23.66548
宏興造船廠,99667060,07510016052648,澎湖縣馬公市案山里大案山九六之二七號,澎湖縣馬公市案山里,楊黎君　,96576349,合夥,0751230,0761102,生產中,31其他運輸工具及其零件製造業,311船舶及浮動設施,,漁船修理,,119.578064,23.5597286
全成鐵工廠,16000008,,澎湖縣馬公市西文里西文澳97之55號,澎湖縣馬公市西文里,陳俊成,96073304,獨資,,1030923,生產中,25金屬製品製造業、25金屬製品製造業、29機械設備製造業,251金屬刀具、手工具及模具、252金屬結構及建築組件、259其他金屬製品、291金屬加工用機械設備、293通用機械設備,,金屬手工具及模具，金屬結構及建築組件，其他金屬製品，金屬加工用機械設備，通用機械設備,,119.588058,23.5692158
皓仁預拌企業有限公司,99667078,08910016066192,澎湖縣馬公市興仁里雙頭掛114-90號,澎湖縣馬公市興仁里,張蓓珍,70609859,獨資,0891208,0890228,生產中,23非金屬礦物製品製造業,233水泥及其製品,,預拌混凝土,,119.613716,23.5490952
金協發打鐵店,99667021,07210016041646,澎湖縣白沙鄉講美村120號,澎湖縣白沙鄉講美村,吳淑菀,96651183,獨資,0721123,0730112,生產中,25金屬製品製造業,259其他金屬製品、251金屬刀具、手工具及模具,,農器（鋤頭耙子）、漁器（叉子）,,119.598709,23.6322632
