工廠名稱,工廠登記編號,工廠設立許可案號,工廠地址,工廠市鎮鄉村里,工廠負責人姓名,統一編號,工廠組織型態,工廠設立核准日期,工廠登記核准日期,工廠登記狀態,產業類別,主要產品,WebURL,ProductName,Material,Longitude,Latitude
啟富機械工程有限公司,09000274,,雲林縣斗南鎮西伯里西伯路113-6號,雲林縣斗南鎮西伯里,陳存啟,54091674,有限公司,,1020201,生產中,25金屬製品製造業,252金屬結構及建築組件,,,,,
東生農產加工廠,99653647,07110000114368,雲林縣二崙鄉崙西村中山路三六九號,雲林縣二崙鄉崙西村,廖慧珠,45698690,獨資,0710514,0730529,生產中,08食品製造業,089其他食品,,其他食品,粗糠　　　　,120.406296,23.7668266
益順泰實業有限公司,09001001,,雲林縣林內鄉九芎村大同路7號,雲林縣林內鄉九芎村,邱瀞緯,53068865,有限公司,,1090623,生產中,24基本金屬製造業、25金屬製品製造業,241鋼鐵、251金屬刀具、手工具及模具、254金屬加工處理、259其他金屬製品,,,,,
和峻重機械有限公司斗六廠,99654690,,雲林縣斗六市榴南里斗工二路６６號,雲林縣斗六市榴南里,陳金堂,16682804,有限公司,,0950717,生產中,29機械設備製造業、31其他運輸工具及其零件製造業,293通用機械設備、319未分類其他運輸工具及其零件,,貨車吊桿,,120.596916,23.71886
台灣化學纖維股份有限公司麥寮廠,99653069,08510000405070,雲林縣麥寮鄉中興村台塑工業園區5號及3之1號,雲林縣麥寮鄉,方英達,58650902,股份有限公司,0850605,0871223,生產中,18化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,181化學原材料、184塑膠及合成橡膠原料,,純對苯二甲酸、苯乙烯、耐隆原絲、ＡＢＳ合成酚、嫘縈棉,對二甲苯、輕油、己內醯胺、丙烯、乙烯、屑煤,120.212883,23.8156242
長成電線電纜股份有限公司斗南廠,99653363,07310009047073,雲林縣斗南鎮小東里公論路一四號,雲林縣斗南鎮小東里,李素寧,27130195,股份有限公司,0730519,0731130,生產中,28電力設備及配備製造業,281發電、輸電及配電機械、283電線及配線器材、289其他電力設備及配備,,電線,,120.477676,23.6961384
辰皓工程有限公司麥寮廠,09000992,10910009600176,雲林縣麥寮鄉施厝村仁德東路206巷33弄161號,雲林縣麥寮鄉施厝村,許耀祖,54502780,有限公司,1090507,1090521,生產中,25金屬製品製造業,254金屬加工處理,,,,,
廣衡股份有限公司（麥寮廠）,S0900155,,雲林縣麥寮鄉海豐村義和120號,雲林縣麥寮鄉海豐村,林文瑞,28059522,股份有限公司,,1090521,生產中,29機械設備製造業,291金屬加工用機械設備,,,,,
昇億開發興業有限公司,S0900097,,雲林縣斗南鎮大東里大東36號,雲林縣斗南鎮大東里,沈傑宗,53149754,有限公司,,1090514,生產中,25金屬製品製造業,252金屬結構及建築組件,,,,,
百將工程有限公司,09000056,,雲林縣麥寮鄉海豐村永和6號,雲林縣麥寮鄉海豐村,巫永宗,89273762,有限公司,,1000420,生產中,28電力設備及配備製造業、25金屬製品製造業,281發電、輸電及配電機械、259其他金屬製品,,配管,鋁,120.244545,23.7755623
易得生物機電股份有限公司,09000828,,雲林縣土庫鎮興新里頂圍路36號1樓,雲林縣土庫鎮興新里,黃聰成,59063466,股份有限公司,,1071225,生產中,29機械設備製造業,292其他專用機械設備,,機械,,120.382927,23.6748161
祥益食品有限公司二廠,S0900010,,雲林縣口湖鄉口湖村崇文路2段402巷50號,雲林縣口湖鄉口湖村,林明興,80212505,有限公司,,1090507,生產中,08食品製造業,089其他食品,,,,,
昶春塑膠有限公司,99653926,07710000184477,雲林縣斗南鎮田頭里田頭中路一七五號,雲林縣斗南鎮田頭里,李陳杏,89991840,有限公司,0770322,0770322,生產中,22塑膠製品製造業,220塑膠製品,,編織袋,,120.485062,23.7009621
中紀塑膠工業股份有限公司,99653023,,雲林縣斗六市虎溪里雲科路三段三五號,雲林縣斗六市虎溪里,陳振騏,34486137,股份有限公司,,0900608,生產中,22塑膠製品製造業,220塑膠製品,,塑膠袋,,120.519569,23.7258224
永吉發股份有限公司,09000044,,雲林縣麥寮鄉施厝村湖內街65巷13號,雲林縣麥寮鄉施厝村,呂宗益,27615711,股份有限公司,,1000217,生產中,25金屬製品製造業,259其他金屬製品,,其他金屬建築組件製造,,120.2797,23.7944775
紅菱重工股份有限公司(雲科廠),09000318,,雲林縣斗六市虎溪里雲科路3段116號,雲林縣斗六市虎溪里,黃仁信,16748783,股份有限公司,,1020621,生產中,30汽車及其零件製造業、28電力設備及配備製造業,301汽車、281發電、輸電及配電機械,,,,,
江井精密工業股份有限公司(斗南二廠),S0900061,,雲林縣斗南鎮阿丹里興中路1-10號,雲林縣斗南鎮阿丹里,劉家銘,84636076,股份有限公司,,1090429,生產中,25金屬製品製造業,259其他金屬製品,,,,,
寶龍農產行,S0900098,,雲林縣二崙鄉復興村隆興9號,雲林縣二崙鄉復興村,駱素英,17470188,獨資,,1090505,生產中,08食品製造業,089其他食品,,,,,
明鼎益興業社第二廠,S0900120,,"雲林縣莿桐鄉番子段2911,2912地號",雲林縣莿桐鄉,廖明益,45515735,獨資,,1090519,生產中,33其他製造業,339未分類其他製品,,,,,
弘成碾米廠,99653324,,雲林縣莿桐鄉四合村永基４４號,雲林縣莿桐鄉四合村,黃筱晴,63059400,獨資,,0611110,生產中,08食品製造業,086碾榖、磨粉及澱粉製品,,白米,,120.525192,23.7759571
