工廠名稱,工廠登記編號,工廠設立許可案號,工廠地址,工廠市鎮鄉村里,工廠負責人姓名,統一編號,工廠組織型態,工廠設立核准日期,工廠登記核准日期,工廠登記狀態,產業類別,主要產品,WebURL,ProductName,Material,Longitude,Latitude
朝嘉塑膠有限公司,99660735,08810011305056,臺南市永康區南灣里大灣東路22巷78號,臺南市永康區南灣里,陳林罔留,16915851,有限公司,0880506,0880511,生產中,22塑膠製品製造業,220塑膠製品,,塑膠射出,,120.258614,22.9951134
芳榮米廠,99658067,06210000039996,臺南市後壁區長短樹里長短樹1號,臺南市後壁區長短樹里,張柏亮　,71216065,獨資,0620411,0620420,生產中,08食品製造業,086碾榖、磨粉及澱粉製品,,白米（１）芳榮白米－以在地農民生產之蓬萊米為原料、加工為散裝３０公斤妝商業用白米（２）芳榮禾家米－與農民契約合作種植的臺農７１號米（３）活力夯米－與農民契約合作種植的高雄１４５號米（４）禾雁米－與農民契約合作，採有機方式種植的臺南１４號米,稻穀－在地農民栽種之蓬萊稻穀、不分品種、立即低溫烘乾後、存放冷藏儲存桶、在依每日銷售量碾成白米銷售、與農民契約合作栽種的臺農７１號益全香米稻穀、與農民契約合作栽種的高雄１４５號活力夯米稻穀、與農民契約合作栽種的臺南１４號有米樂稻穀,120.330948,23.3674316
井昇股份有限公司二廠,99684191,,臺南市安定區安定里領寄22之1號1樓,臺南市安定區安定里,詹芳寓,84586168,股份有限公司,,0920717,生產中,28電力設備及配備製造業,281發電、輸電及配電機械,http://www.jsec-tw.com,控制盤、馬達控制中心、變頻器,,120.252922,23.1148739
欣岱實業股份有限公司二廠,99657753,08410000205169,臺南市官田區二鎮里工業西路31號,臺南市官田區二鎮里,王金助,69774583,股份有限公司,0840511,0850716,生產中,18化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,184塑膠及合成橡膠原料,https://www.syndyne.com.tw/,電木積層板、合成樹脂,紙、布、樹脂、甲醇,120.32058,23.20909
聖發實業社,99661185,07610011083063,臺南市永康區塩行里中正一街25號,臺南市永康區塩行里,莊益銘　,08449544,獨資,0760722,0780222,生產中,27電腦、電子產品及光學製品製造業、28電力設備及配備製造業,277光學儀器及設備、285家用電器,,廚房用具（瓦斯爐，瓦斯鍋）組立,,120.24649,23.0347271
信裕興紙器廠有限公司,99675105,0AA99999000518,臺南市中西區文賢里文和街94號,臺南市中西區文賢里,陳森榮,84599311,有限公司,0600106,0600730,生產中,15紙漿、紙及紙製品製造業,152瓦楞紙板及紙容器,,紙盒,,120.191772,23.0031166
璟程小泉精機股份有限公司,67001037,,臺南市永康區蔦松里正北五路99號,臺南市永康區蔦松里,林璟萌,80402505,股份有限公司,,1031022,生產中,29機械設備製造業、31其他運輸工具及其零件製造業,291金屬加工用機械設備、292其他專用機械設備、293通用機械設備、312機車及其零件、313自行車及其零件、319未分類其他運輸工具及其零件,http://jc-technology.com.tw,金屬加工用機械設備，其他專用機械設備，通用機械設備,,120.2644,23.0507431
安發舖棉工業股份有限公司,99659917,07310011050602,臺南市仁德區太子里太子四街9號,臺南市仁德區太子里,陳炳安　　　,69928567,股份有限公司,0730515,0740724,生產中,11紡織業,113不織布、115紡織品,,縫定棉樹脂棉,,120.250366,22.9891987
南興汽車修理廠有限公司,67000167,,臺南市佳里區民安里同安寮72之18號,臺南市佳里區民安里,羅秋煌,24246243,有限公司,,1000826,生產中,30汽車及其零件製造業,302車體,,汽車修理,,120.192772,23.164257
原鐿鐵材行二廠,S6700267,,臺南市柳營區八翁里仁愛路407號,臺南市柳營區八翁里,石昇原,17237535,獨資,,1090715,生產中,25金屬製品製造業,253金屬容器,,,,,
