工廠名稱,工廠登記編號,工廠設立許可案號,工廠地址,工廠市鎮鄉村里,工廠負責人姓名,統一編號,工廠組織型態,工廠設立核准日期,工廠登記核准日期,工廠登記狀態,產業類別,主要產品,WebURL,ProductName,Material,Longitude,Latitude
松根美術設計印刷有限公司,63021651,06063000075529,臺北市大同區至聖里臺北市大同區承德路三段一七九號一樓,臺北市大同區至聖里,蕭鈞洲,07229233,有限公司,0601026,0610426,生產中,16印刷及資料儲存媒體複製業,160印刷及資料儲存媒體複製,,各種印刷品,,121.518608,25.06916
名國化粧品廠二廠,63020505,08163000020068,臺北市內湖區週美里新明路三二一巷十弄七號五樓,臺北市內湖區週美里,彭得財,01652845,獨資,0810629,0810715,生產中,19其他化學製品製造業,194化粧品,,洗髮精、潤髮乳,,121.585129,25.056242
宇貹農產產銷股份有限公司,63022439,,臺北市士林區永倫里延平北路六段四五七號二樓、三樓,臺北市士林區永倫里,林郁貹,80684650,股份有限公司,,1070213,生產中,08食品製造業,089其他食品,,水煮蛋,,121.499229,25.0920925
志青企業社,63022431,,臺北市南港區三重里松河街六五八號,臺北市南港區三重里,闕志文,05422710,獨資,,1061030,生產中,29機械設備製造業、30汽車及其零件製造業,291金屬加工用機械設備、303汽車零件,,鑄件等,,121.609222,25.0597134
安閎金屬工程股份有限公司,63022282,,臺北市北投區一德里立德路一二０巷二十七號一樓,臺北市北投區一德里,蔡麗雀,53347038,股份有限公司,,1020408,生產中,25金屬製品製造業,252金屬結構及建築組件,http://ahoard.com.tw/,不銹鋼門窗、不銹鋼玻璃欄杆、樓梯扶手、外牆惟幕包板,,121.473351,25.1267052
和昌國際工業股份有限公司內湖廠,63021677,07863000018156,臺北市內湖區葫洲里安康路一一一號,臺北市內湖區葫洲里,江程金,80670826,股份有限公司,0780705,0800812,生產中,23非金屬礦物製品製造業,233水泥及其製品,http://hc-concrete.com.tw,預拌混凝土、水泥、水泥製品,,121.598564,25.06287
中原食品工業開發股份有限公司,63020568,07763000017149,臺北市萬華區糖廍里艋舺大道二七五巷十三、十五號一樓,臺北市萬華區糖廍里,董晃銘,22640634,股份有限公司,0770305,0770517,生產中,08食品製造業,089其他食品,,餐盒,,121.497589,25.0336933
台灣伊柔國際有限公司,63021532,07363000009553,臺北市北投區八仙里北投路一段四十一號二樓,臺北市北投區八仙里,蘇斐玲,36509819,有限公司,0730517,0730705,生產中,19其他化學製品製造業,194化粧品,,乳劑化粧品、液劑化粧品,,121.500771,25.1247883
東亞齒輪機械廠有限公司,63022392,,臺北市內湖區週美里新明路二七三巷六號,臺北市內湖區週美里,許佑嘉,35187591,有限公司,,1050622,生產中,29機械設備製造業,292其他專用機械設備,,其他專用機械設備,,121.586395,25.0569572
士福美食股份有限公司,63020455,08163000020217,臺北市內湖區石潭里新明路一九三、一九五號一樓,臺北市內湖區石潭里,祝佳琴,83475761,股份有限公司,0811228,0820721,生產中,08食品製造業,089其他食品、083蔬果加工,,,,,
力泰建設企業股份有限公司,63020061,068630000A0007,臺北市士林區福安里延平北路七段七號,臺北市士林區福安里,吳良材,66410981,股份有限公司,0680602,0680602,生產中,23非金屬礦物製品製造業,233水泥及其製品,,預拌混凝土,,121.497032,25.0945911
聖美化工股份有限公司,63020671,08063000019791,臺北市內湖區內湖路一段九十一巷十二弄十二號,臺北市內湖區,蔡貴美,05427308,股份有限公司,0801119,0810630,生產中,19其他化學製品製造業,194化粧品,,液劑、乳劑,,121.562386,25.08459
昆陽包裝實業有限公司,63021979,,臺北市南港區合成里忠孝東路六段三一七號一樓,臺北市南港區合成里,陳登科,12931438,有限公司,,0950424,生產中,33其他製造業,332醫療器材及用品,,,,,
