工廠名稱,工廠登記編號,工廠設立許可案號,工廠地址,工廠市鎮鄉村里,工廠負責人姓名,統一編號,工廠組織型態,工廠設立核准日期,工廠登記核准日期,工廠登記狀態,產業類別,主要產品,WebURL,ProductName,Material,Longitude,Latitude
久賢企業有限公司,99672920,07510020029310,嘉義市西區北湖里北社尾路２４６巷３２號,嘉義市西區北湖里,王張秀華,22121247,有限公司,0750519,0750619,生產中,29機械設備製造業,293通用機械設備,,機械,,120.422546,23.4949
大豐被服廠,99672672,06410000174130,嘉義市東區中央里吳鳳北路２９９號,嘉義市東區中央里,李宗泰,65052901,獨資,0641204,0660208,生產中,11紡織業、12成衣及服飾品製造業,121成衣、123服飾品、115紡織品,,團體服、書包，蚊帳，雨衣，帽子,,120.452621,23.48189
雨岑機械股份有限公司,99672757,07310020051713,嘉義市西區湖內里民生南路８９７巷６２號,嘉義市西區湖內里,劉蔡釆芳　　,06234265,股份有限公司,0731018,0741030,生產中,25金屬製品製造業,259其他金屬製品,,金屬製品,,120.436653,23.45286
永成螺絲工廠,99672538,07610020089024,嘉義市東區後湖里保忠三街６２巷１０２號,嘉義市東區後湖里,李蔡雪玉　　,78553626,獨資,0770114,0770123,生產中,29機械設備製造業、25金屬製品製造業、31其他運輸工具及其零件製造業,292其他專用機械設備、319未分類其他運輸工具及其零件、259其他金屬製品、293通用機械設備,,螺絲、螺帽,,120.452377,23.51359
清震實業股份有限公司,99672513,08310020039868,嘉義市東區後湖里保忠三街２７巷８０號,嘉義市東區後湖里,謝杏珠　　　,84891890,股份有限公司,0830706,0831119,生產中,25金屬製品製造業,254金屬加工處理,,螺絲熱處理,,120.4528,23.50828
長圓食品有限公司,S2000025,,嘉義市西區下埤里北港路１２９６號,嘉義市西區下埤里,高淑慧,89681303,有限公司,,1090706,生產中,08食品製造業,089其他食品,,,,,
伍營有限公司,20000064,,嘉義市東區後湖里保忠一街５０１號,嘉義市東區後湖里,李成國,42780302,有限公司,,1070118,生產中,14木竹製品製造業、14木竹製品製造業,140木竹製品,,木屑,木材,120.446304,23.5123386
寶順食品有限公司,20000063,,嘉義市東區後湖里保忠一街１００巷６８號,嘉義市東區後湖里,許智勳,56665491,有限公司,,1061207,生產中,08食品製造業,089其他食品,,品質改良劑等,,120.453323,23.5146637
興邦電机机械廠,99672996,08010020089121,嘉義市東區後湖里保義路２４６巷３０號,嘉義市東區後湖里,蔡永芳　　　,65908408,獨資,0800613,0800620,生產中,29機械設備製造業、25金屬製品製造業,293通用機械設備、292其他專用機械設備,,吊車、馬達,,120.454231,23.5057
佶峯企業社,99672644,07810020089205,嘉義市東區後湖里保義路246巷38號,嘉義市東區後湖里,何勝福　　　,76822126,獨資,0781014,0790330,生產中,25金屬製品製造業,259其他金屬製品,,瓦斯爐、五金、茶車、零件,,120.45459,23.50578
兆百祥塑膠企業股份有限公司,99672901,08110020089050,嘉義市西區大溪里北港路１０１９號,嘉義市西區大溪里,王玉梅　　　,86619024,股份有限公司,0810408,0810513,生產中,22塑膠製品製造業,220塑膠製品,,ＥＶＡ發泡板,,120.407784,23.48873
華成鐵工廠,99672867,,嘉義市東區後湖里保順路１６６號,嘉義市東區後湖里,蘇洪美玉,98061085,獨資,,0910815,生產中,25金屬製品製造業、25金屬製品製造業,259其他金屬製品,,鐵架等鋼鐵製品,,120.450394,23.50856
嘉儀企業股份有限公司,99699007,07310020005953,嘉義市東區後湖里保忠１街１０２號,嘉義市東區後湖里,黃文聰　　,14093802,股份有限公司,0730217,0730807,生產中,32家具製造業、22塑膠製品製造業,321非金屬家具、220塑膠製品、322金屬家具,,展示架、雪鏈,,120.453217,23.51306
盛新精品企業有限公司,20000028,,嘉義市西區下埤里下埤路９３號,嘉義市西區下埤里,黃心嬿,24401103,有限公司,,1020429,生產中,11紡織業、22塑膠製品製造業,115紡織品、220塑膠製品,,皮套、置物袋,,120.413437,23.49191
禎遠機械有限公司,99672668,06710000305460,嘉義市東區後湖里保忠三街６２巷１６號１樓,嘉義市東區後湖里,魏欽榮　　　,66628382,有限公司,0671208,0680717,生產中,29機械設備製造業、25金屬製品製造業,291金屬加工用機械設備、259其他金屬製品,,鋼板、鐵材、鋁材、鑄件,,120.452522,23.51119
統百食品股份有限公司,20000025,,嘉義市東區後湖里保康路２號,嘉義市東區後湖里,何宗桔,70743357,股份有限公司,,1020117,生產中,08食品製造業、08食品製造業,089其他食品,,米香捲,,120.455643,23.5076084
台灣新泥機械有限公司,S2000010,,嘉義市西區大溪里育人路４３８巷２９８號,嘉義市西區大溪里,蔡妙玲,86050680,有限公司,,1090507,生產中,22塑膠製品製造業、29機械設備製造業,220塑膠製品、292其他專用機械設備,,,,,
本原食品加工處,99672693,06110000097117,嘉義市西區新西里垂楊路６６３巷３號,嘉義市西區新西里,黃貞蓉　　　,66309373,獨資,0610922,0630827,生產中,08食品製造業,089其他食品,,素丸子,,120.436691,23.47289
和技精密科技有限公司,99699057,,嘉義市東區後湖里保成路476號1.2樓,嘉義市東區後湖里,周崑龍,80094681,有限公司,,0960625,生產中,29機械設備製造業,292其他專用機械設備,,印刷機,,120.455421,23.51075
貴臺企業有限公司,99672764,07510020080312,嘉義市東區荖藤里荖藤宅５８號,嘉義市東區荖藤里,黃保琴　　,23952986,有限公司,0751216,0751224,生產中,14木竹製品製造業,140木竹製品,,小夾板,,120.443329,23.51079
頌鑫實業股份有限公司,99672507,07210000055208,嘉義市東區後湖里保忠三街１０３號,嘉義市東區後湖里,李愈漢　　　,66619551,股份有限公司,0720406,0721121,生產中,32家具製造業、22塑膠製品製造業,220塑膠製品、321非金屬家具、322金屬家具,,塑膠泡綿,,120.451553,23.51036
大全美企業社,99672815,08410020068838,嘉義市西區新西里興業西路４９８號一樓,嘉義市西區新西里,陳鈺熏　　,19732700,合夥,0841002,0860531,生產中,12成衣及服飾品製造業,121成衣,,內衣，內褲,,120.434059,23.46822
晟達工業股份有限公司二廠,20000075,,嘉義市西區北新里文化路１０５７號,嘉義市西區北新里,江慶哲,23264600,股份有限公司,,1090106,生產中,25金屬製品製造業、25金屬製品製造業,259其他金屬製品,,,,,
永金欣表面處理有限公司,99672861,,嘉義市東區後湖里保忠一街１１７之３號,嘉義市東區後湖里,賴葉金枝,27431903,有限公司,,0910621,生產中,25金屬製品製造業,254金屬加工處理,,電鍍（金屬製品）,化學添加劑,120.451141,23.51312
錦興機械工廠,20000093,,嘉義市東區後湖里保忠三街62巷150號,嘉義市東區後湖里,李俊明,81313755,合夥,,1090330,生產中,25金屬製品製造業、25金屬製品製造業,259其他金屬製品,,,,,
欣新揚企業股份有限公司,20000029,,嘉義市東區後湖里保忠三街３８號,嘉義市東區後湖里,藍陳定,16693008,股份有限公司,,1020515,生產中,24基本金屬製造業,241鋼鐵,,泵殼類．閥類．機械零件．高鉻合金,,120.453438,23.51084
富田教俱製造廠,99672798,06010000080096,嘉義市西區頭港里玉山路８４９號,嘉義市西區頭港里,李義文　　　,66657528,獨資,0600819,0610527,生產中,32家具製造業,321非金屬家具、322金屬家具,,學生課桌椅、辦公桌、教育器材,,120.409737,23.46862
興農工業股份有限公司一廠,99672877,,嘉義市西區重興里博愛路一段５４０號,嘉義市西區重興里,王永華,65904590,股份有限公司,,0591201,生產中,29機械設備製造業,291金屬加工用機械設備、293通用機械設備,,電腦數值控制六角鑽床，轉塔式六角鑽床，立式強力鑽床，立式搪磨，齒輪，心軸,,120.441673,23.48445
乃香食品有限公司,20000057,,嘉義市西區保福里興達路６０６號一樓,嘉義市西區保福里,方雅香,55930726,有限公司,,1060217,生產中,08食品製造業,089其他食品,,麵粉製品（吐司）,,120.428528,23.4850712
進育機械工業股份有限公司,20000011,,嘉義市東區後湖里保義路２５１號,嘉義市東區後湖里,郭昭佑,12614897,股份有限公司,,1000914,生產中,29機械設備製造業、25金屬製品製造業,291金屬加工用機械設備、293通用機械設備、254金屬加工處理、259其他金屬製品,,機械製造加工，冷作焊接工程，零件精密加工,,120.452438,23.5054264
信發製油廠,S2000026,,嘉義市西區西榮里忠義街１１１號,嘉義市西區西榮里,施芳明,65127804,獨資,,1090707,生產中,08食品製造業,084動植物油脂,,,,,
吉成木模有限公司,S2000011,,嘉義市西區下埤里下埤路１１７號附１,嘉義市西區下埤里,林達優,70491979,有限公司,,1090507,生產中,14木竹製品製造業、14木竹製品製造業,140木竹製品,,,,,
紳琦五金工業有限公司,20000026,,嘉義市東區後湖里保忠三街62巷3號,嘉義市東區後湖里,黃文修,84165770,有限公司,,1020327,生產中,25金屬製品製造業,259其他金屬製品,,金屬製品,,120.452293,23.51089
營達食品有限公司,99672768,08310000600532,嘉義市西區福安里泰瑞四街８２號,嘉義市西區福安里,曾昭明　　,28629621,有限公司,0830818,0840918,生產中,,,,餐盒食品,,120.426949,23.48551
鑫進機械有限公司,S2000016,,嘉義市東區後湖里保忠一街１１７號附２,嘉義市東區後湖里,吳進益,80136015,有限公司,,1090519,生產中,29機械設備製造業、29機械設備製造業,292其他專用機械設備,,,,,
百豐機械廠,99672725,07910020089055,嘉義市西區保安里北社尾路８巷１５號,嘉義市西區保安里,賴永霖　,06232219,獨資,0790406,0790425,生產中,29機械設備製造業,293通用機械設備,,吊車、輸送設備零件,,120.429,23.4921989
新超工業股份有限公司,99672711,07910020089097,嘉義市西區竹村里竹子脚９０之３號,嘉義市西區竹村里,李柏蒼,23216544,股份有限公司,0790529,0790531,生產中,25金屬製品製造業,259其他金屬製品,,水邦浦、剎車鼓、鋼板吊架,,120.394821,23.49432
昶技企業股份有限公司,99672969,07210000188101,嘉義市東區後湖里保忠三街６２巷９８號,嘉義市東區後湖里,侯憲沛　　　,22481657,股份有限公司,0721006,0730109,生產中,22塑膠製品製造業、25金屬製品製造業、33其他製造業,220塑膠製品、259其他金屬製品、331育樂用品,,塑膠製品，塑膠模具,,120.452377,23.51331
詠順科技股份有限公司,99672834,06910000186933,嘉義市東區後湖里保義路２８８、２９０號,嘉義市東區後湖里,陳建言,23543245,股份有限公司,0690909,0700131,生產中,22塑膠製品製造業、28電力設備及配備製造業、25金屬製品製造業,220塑膠製品、252金屬結構及建築組件、285家用電器,,保利龍、風扇,,120.453232,23.50719
新興醬園,99672654,06410000037499,嘉義市西區小湖里竹文街９７巷１６號,嘉義市西區小湖里,鄭澄秋　　,65675098,獨資,0640402,0640515,生產中,08食品製造業,089其他食品,,醬油、醬菜,,120.440857,23.48171
博程有限公司,99672898,08110020089184,嘉義市西區保安里八德路２４４號,嘉義市西區保安里,蕭金榮　　　,96858425,有限公司,0811009,0820308,生產中,29機械設備製造業,293通用機械設備,,油壓機械、機械五金加工等,,120.430489,23.4889
