工廠名稱,工廠登記編號,工廠設立許可案號,工廠地址,工廠市鎮鄉村里,工廠負責人姓名,統一編號,工廠組織型態,工廠設立核准日期,工廠登記核准日期,工廠登記狀態,產業類別,主要產品,WebURL,ProductName,Material,Longitude,Latitude
大峻紙器有限公司,99647844,08310007015948,彰化縣福興鄉大崙村大崙街２號,彰化縣福興鄉大崙村,陳文標　,23568688,有限公司,0830324,0830418,生產中,15紙漿、紙及紙製品製造業,152瓦楞紙板及紙容器,,紙箱，紙盒,,120.48098,24.0363979
尚銘精機有限公司,99649376,09010007300045,彰化縣大村鄉茄苳村茄苳路２段１７６號,彰化縣大村鄉茄苳村,吳進源,97060329,有限公司,0900118,0900209,生產中,29機械設備製造業,293通用機械設備、292其他專用機械設備,,成型機械,,120.539886,24.0091286
金成車體工廠,S0700153,,彰化縣員林市東北里東南路437號及臨439號,彰化縣員林市東北里,李秋煙,60213111,合夥,,1090508,生產中,30汽車及其零件製造業,302車體,,,,,
晨新工業社,07002877,,彰化縣彰化市大竹里彰南路二段74巷19號1樓,彰化縣彰化市大竹里,陳茂松,10962244,有限公司,,1071203,生產中,25金屬製品製造業,259其他金屬製品,,,,,
聖豐國際實業有限公司,07003791,,彰化縣大村鄉貢旗村大崙路6之27號,彰化縣大村鄉貢旗村,張宏年,42583132,有限公司,,1090804,生產中,25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備,,,,,
尚足企業有限公司,07000011,,彰化縣社頭鄉社頭村員集路二段285巷29弄13號,彰化縣社頭鄉社頭村,蕭伸峰,12770587,有限公司,,0991013,生產中,12成衣及服飾品製造業,123服飾品,,襪子,,120.58651,23.8993778
河順實業有限公司二廠,S0700834,,彰化縣彰化市福田里福田一路51巷42號,彰化縣彰化市福田里,莊麗梅,16222730,有限公司,,1090708,生產中,25金屬製品製造業,259其他金屬製品,,,,,
章鎰工業有限公司,S0700536,,彰化縣秀水鄉秀水村彰秀路37巷34號,彰化縣秀水鄉秀水村,梁螢墐,24894161,有限公司,,1090610,生產中,22塑膠製品製造業,220塑膠製品,,,,,
奕豪工業有限公司,07000269,,彰化縣和美鎮頭前里和頭路612巷25弄27號,彰化縣和美鎮頭前里,林蕙君,28333015,有限公司,,1000817,生產中,25金屬製品製造業、30汽車及其零件製造業、31其他運輸工具及其零件製造業,259其他金屬製品、303汽車零件、312機車及其零件、313自行車及其零件,,精密零件製造,,120.507309,24.125576
同發工業有限公司,S0700120,,彰化縣溪湖鎮番婆里興安路321巷24號,彰化縣溪湖鎮番婆里,陳丁平,86619988,有限公司,,1090501,生產中,31其他運輸工具及其零件製造業,313自行車及其零件,,,,,
益嵩工業有限公司,99681210,,彰化縣員林市南興里員大路一段４６５號１樓,彰化縣員林市南興里,黃晨紘,25075077,有限公司,,0990623,生產中,25金屬製品製造業,254金屬加工處理,,車輛零配件加工,,120.559265,23.9710617
億懋精密科技有限公司工廠,07000766,,彰化縣埔心鄉羅厝村羅厝路一段166號1樓,彰化縣埔心鄉羅厝村,胡素梅,27606277,有限公司,,1020326,生產中,31其他運輸工具及其零件製造業,313自行車及其零件,,自行車零件,,120.512665,23.9372654
鋐昌五金有限公司,S0700558,,彰化縣和美鎮南佃里渭南路125巷143弄98號,彰化縣和美鎮南佃里,趙俊堯,24885091,有限公司,,1090609,生產中,25金屬製品製造業,259其他金屬製品,,,,,
華鈺織帶有限公司,S0700556,,彰化縣和美鎮源埤里嘉佃路586、588號,彰化縣和美鎮源埤里,吳美足,89713467,有限公司,,1090609,生產中,11紡織業,115紡織品,,,,,
中央烤漆浪板有限公司,07000288,,彰化縣花壇鄉金墩村金福街2號1樓,彰化縣花壇鄉金墩村,李清德,12920050,有限公司,,1000908,生產中,25金屬製品製造業,252金屬結構及建築組件,,烤漆鋼捲,,120.545868,24.0180264
奕橙精密工業股份有限公司,99649926,08810007125574,彰化縣福興鄉橋頭村彰鹿路７段２０４巷２８５之１號,彰化縣福興鄉橋頭村,黃永森　,16902758,股份有限公司,0880709,0890323,生產中,22塑膠製品製造業,220塑膠製品,,烤漆加工,,120.450569,24.05047
元精精密有限公司二廠,07002173,,彰化縣和美鎮好修里和港路778號,彰化縣和美鎮好修里,許祥啟,53295257,有限公司,,1060607,生產中,25金屬製品製造業,259其他金屬製品,,研磨,,120.489,24.1369457
永勝工業社,S0701390,,彰化縣北斗鎮中寮里斗苑路二段770巷38號,彰化縣北斗鎮中寮里,陳元和,24154692,獨資,,1091106,生產中,29機械設備製造業、30汽車及其零件製造業,293通用機械設備、303汽車零件,,,,,
倍韻實業有限公司,99679642,,彰化縣埔心鄉油車村忠義北路２０９號,彰化縣埔心鄉油車村,張旭慶,27600674,有限公司,,0940309,生產中,28電力設備及配備製造業,285家用電器,,按摩椅、家用電器,,120.54258,23.9582748
聯昇企業社二廠,S0701331,,彰化縣埔心鄉二重村瑤鳳路三段127巷17號,彰化縣埔心鄉二重村,黃倉洲,14623339,合夥,,1091005,生產中,24基本金屬製造業、25金屬製品製造業,241鋼鐵、252金屬結構及建築組件、254金屬加工處理,,,,,
正順紡織企業股份有限公司,99645082,08310000601780,彰化縣田中鎮沙崙里興酪路２６０號,彰化縣田中鎮沙崙里,何文華　,84798796,股份有限公司,0830916,0840301,生產中,11紡織業,114染整,,布類起毛，布類定型,,120.573845,23.847414
全慶福有限公司,99646501,08510007168884,彰化縣鹿港鎮頭崙里埔尾巷５３之６號,彰化縣鹿港鎮頭崙里,黃美雲　,97196450,有限公司,0850920,0851004,生產中,22塑膠製品製造業,220塑膠製品,,其他未列名塑膠製品,,120.469536,24.0892944
仁盟企業有限公司,S0700026,,彰化縣員林市源潭里三潭巷23-13號,彰化縣員林市源潭里,吳佶融,97190723,有限公司,,1090424,生產中,32家具製造業,322金屬家具,,,,,
品冠興業有限公司,07001983,,彰化縣社頭鄉仁雅村仁雅巷177弄16號,彰化縣社頭鄉仁雅村,陳志豪,45107273,有限公司,,1051205,生產中,08食品製造業,089其他食品,,果汁粉,,120.58181,23.8928585
佫鈦股份有限公司,99647895,07610007053116,彰化縣和美鎮月眉里北辰路１５８巷５之１號,彰化縣和美鎮月眉里,蔡榮崇　,22501680,股份有限公司,0760407,0760618,生產中,11紡織業,115紡織品,,,,,
琦豐生物科技股份有限公司,99680121,,彰化縣彰化市和調里中山路３段１２１巷７７號,彰化縣彰化市和調里,陳樹火,28019135,股份有限公司,,0950710,生產中,18化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,183肥料及氮化合物,,,,,
南王木工股份有限公司,99648360,06710000041054,彰化縣福興鄉福興村福建路二一三號,彰化縣福興鄉福興村,莊昇平　　　,59223512,股份有限公司,0670320,0671127,生產中,14木竹製品製造業、33其他製造業,140木竹製品、331育樂用品,,夾板、木製球拍、木器玩具,,120.433517,24.04094
高僑自動化科技股份有限公司彰濱三廠,99681034,,彰化縣線西鄉塭仔村彰濱東一路６之１號,彰化縣線西鄉塭仔村,李義隆,23712277,股份有限公司,,0981019,生產中,29機械設備製造業,291金屬加工用機械設備,http://www.teraauto.com.tw,各產業整廠自動化設備、各類腔體、各類倉儲自動化化及輸送設備、精密微型鑽頭之研發、設計、製造及進出口業務,,120.433922,24.1295853
金特立科技有限公司,07002838,,彰化縣秀水鄉金陵村安南巷94-3號,彰化縣秀水鄉金陵村,周琬茹,55911875,有限公司,,1071105,生產中,25金屬製品製造業,259其他金屬製品,,金屬製品,,120.509041,24.0090828
豫蒙金屬工程行一廠,S0701377,,彰化縣溪州鄉圳寮村陸軍路14-1號,彰化縣溪州鄉圳寮村,黃桂香,08366430,獨資,,1091022,生產中,25金屬製品製造業,254金屬加工處理、252金屬結構及建築組件,,,,,
金聯菖塑膠有限公司,99649109,,彰化縣彰化市南興里雲長路167號,彰化縣彰化市南興里,吳承昌,55946044,有限公司,,0910203,生產中,22塑膠製品製造業、25金屬製品製造業,220塑膠製品、252金屬結構及建築組件,,,,,
仁釧機械工業有限公司二廠,S0701233,,彰化縣社頭鄉湳底村湳底一巷653號,彰化縣社頭鄉湳底村,賴昭銘,84689538,有限公司,,1090907,生產中,29機械設備製造業,292其他專用機械設備,,,,,
晉勝有限公司二廠,S0700055,,彰化縣福興鄉外中村番花路一段664巷185弄58號,彰化縣福興鄉外中村,林漢源,28079962,有限公司,,1090424,生產中,25金屬製品製造業,259其他金屬製品,,,,,
益廣企業社,07001350,,彰化縣北斗鎮中寮里斗苑路二段524號1樓,彰化縣北斗鎮中寮里,孫銘聰,10952870,獨資,,1031105,生產中,25金屬製品製造業,259其他金屬製品,,華司加工,,120.505943,23.879734
壹慶工程行工廠,07003764,,彰化縣員林市和平里中山路二段369巷2弄15之14號1樓,彰化縣員林市和平里,曾壹慶,25258913,合夥,,1090721,生產中,25金屬製品製造業,252金屬結構及建築組件、254金屬加工處理,,,,,
伊瑪克國際股份有限公司,99679328,,彰化縣花壇鄉長沙村中山路2段70巷31弄5號1樓,彰化縣花壇鄉長沙村,李世堯,27490249,股份有限公司,,0930407,生產中,25金屬製品製造業,251金屬刀具、手工具及模具,http://www.emark.com.tw,金屬手工業,,120.539291,24.0277977
永芳塑膠有限公司二廠,S0700740,,彰化縣芬園鄉大埔村彰南路四段652號,彰化縣芬園鄉大埔村,陳見國,23970963,有限公司,,1090622,生產中,31其他運輸工具及其零件製造業,313自行車及其零件,,,,,
昱陽工業股份有限公司,07000492,,彰化縣鹿港鎮東石里鹿工南四路25號,彰化縣鹿港鎮東石里,梁祈雄,53166009,股份有限公司,,1010416,生產中,22塑膠製品製造業、24基本金屬製造業、25金屬製品製造業,220塑膠製品、242鋁、252金屬結構及建築組件,,塑膠製品、鋁材,,120.395988,24.06844
英屬維京群島商裕元工業有限公司台灣分公司,07003322,,彰化縣福興鄉萬豐村福工路4號,彰化縣福興鄉萬豐村,盧金柱,51158587,外國公司之分公司,,1080828,生產中,11紡織業,115紡織品,,紡織品,,120.490128,24.0117569
禾奇有限公司工廠,99649863,08810007027163,彰化縣社頭鄉埤斗村山腳路１段２８９號,彰化縣社頭鄉埤斗村,陳珈慧,16736484,有限公司,0880209,0900119,生產中,11紡織業,115紡織品,,其他紡織、針織圓帶,,120.607979,23.885479
合泰飼料有限公司,S0700021,,彰化縣鹿港鎮東石里海浴路臨265-1號,彰化縣鹿港鎮東石里,施泓合,25180155,有限公司,,1090424,生產中,08食品製造業,087動物飼品,,,,,
擎亞企業有限公司,07001871,,彰化縣社頭鄉朝興村織襪二路21號,彰化縣社頭鄉朝興村,吳文堅,86757659,有限公司,,1050804,生產中,12成衣及服飾品製造業、33其他製造業,123服飾品、332醫療器材及用品,,醫療保健襪．韻律褲襪．中筒襪．大腿襪．塑身美體衣褲．袖套,尼龍絲、加工絲、色紗,120.601089,23.9019871
速春工業股份有限公司,99651706,07410007053752,彰化縣彰化市中庄里中山路三段四一０巷一六之一一號,彰化縣彰化市中庄里,何素瑛,59363457,股份有限公司,0740628,0740715,生產中,25金屬製品製造業,259其他金屬製品,,衛生器材,,120.565018,24.086916
泰霖企業有限公司二廠,99678181,,彰化縣秀水鄉安東村溪心街三七０巷三號,彰化縣秀水鄉安東村,吳彩雲,86991493,有限公司,,0911023,生產中,18化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,181化學原材料,,脫水劑、金屬光澤添劑,,120.508865,24.0391846
嘉瑾企業有限公司,99678063,07010000070892,彰化縣埔鹽鄉南港村埔菜路二七號,彰化縣埔鹽鄉南港村,陳守惠　,60268451,有限公司,0580101,0720505,生產中,24基本金屬製造業、25金屬製品製造業,242鋁、249其他基本金屬、259其他金屬製品,,鋁壓鑄品、鋅壓鑄品,,120.49527,23.9864655
尚揚企業社,99678924,08510007184507,彰化縣秀水鄉埔崙村彰水路２段１０２巷５８弄２０號,彰化縣秀水鄉埔崙村,游雅琴,77086856,獨資,0851018,0870925,生產中,25金屬製品製造業,251金屬刀具、手工具及模具,,鋼材加工,,120.493393,24.0207787
金永昌鋼鐵有限公司,07002031,,彰化縣員林市南平里復興路21號1樓,彰化縣員林市南平里,張永錄,53046357,有限公司,,1060123,生產中,25金屬製品製造業,252金屬結構及建築組件,,鐵板、鋼板、鐵材,,120.56649,23.9685154
伸紡實業有限公司工廠,99680128,,彰化縣鹿港鎮海埔里鹿草路２段４５５巷３弄４８號,彰化縣鹿港鎮海埔里,王金豊,97381151,有限公司,,0950712,生產中,11紡織業,111紡紗,,內裡布、加工絲,,120.43721,24.0835266
大昱機械工業股份有限公司二廠,S0701239,,彰化縣員林市源潭里源潭路42-23號,彰化縣員林市源潭里,曾欽波,22498003,股份有限公司,,1090907,生產中,25金屬製品製造業,253金屬容器,,,,,
光動力生醫有限公司,07000076,,彰化縣埔心鄉芎蕉村員鹿路五段360-2號,彰化縣埔心鄉芎蕉村,陳鴻昌,24434028,有限公司,,0991229,生產中,33其他製造業,332醫療器材及用品,,電風扇控制板,,120.513382,23.951973
建億橡膠股份有限公司,99646697,08110007073188,彰化縣員林市鎮興里麒麟巷２１２弄６６號,彰化縣員林市鎮興里,陳萬源　,59340639,股份有限公司,0810520,0810804,生產中,21橡膠製品製造業,210橡膠製品,,輸送橡膠帶,,120.608727,23.9582
優立可橡膠有限公司,07001853,,彰化縣溪湖鎮東寮里彰水路四段477號,彰化縣溪湖鎮東寮里,蔡明喬,24444308,有限公司,,1050729,生產中,33其他製造業,332醫療器材及用品,,其他橡膠製品製造業,,120.478912,23.9752655
春樹實業股份有限公司,99650812,06410000148561,彰化縣埤頭鄉和豐村斗苑東路４２６號,彰化縣埤頭鄉和豊村,許世豪,59123302,股份有限公司,0641017,0660523,生產中,21橡膠製品製造業、22塑膠製品製造業、25金屬製品製造業,210橡膠製品、220塑膠製品、251金屬刀具、手工具及模具、259其他金屬製品,,園藝工具,,120.483444,23.88909
凡福工業股份有限公司工廠,99646387,07410007058322,彰化縣彰化市莿桐里彰鹿路９３巷６號,彰化縣彰化市莿桐里,王政龍,59352873,股份有限公司,0741212,0750514,生產中,25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備、291金屬加工用機械設備,,銅管配件,,120.514366,24.0582638
嘉鴻資源回收有限公司,07002214,,彰化縣和美鎮鐵山里鎮東路261巷16號1樓,彰化縣和美鎮鐵山里,白宏文,54795391,有限公司,,1060707,生產中,22塑膠製品製造業,220塑膠製品,,塑膠日用品,,120.518822,24.1014252
盛發倉儲設備股份有限公司,99650597,08410007156547,彰化縣伸港鄉什股村什股路一九二號,彰化縣伸港鄉什股村,施　淑　珍　,89491991,股份有限公司,0840831,0840912,生產中,25金屬製品製造業,252金屬結構及建築組件,,倉儲設備、零件,,120.47506,24.1585865
全有織造廠股份有限公司埤頭廠,07000851,,彰化縣埤頭鄉豐崙村彰水路四段557號,彰化縣埤頭鄉豐崙村,陳再吉,22222195,股份有限公司,,1020618,生產中,11紡織業,115紡織品,,織帶、花邊帶、其他紡織、鬆緊帶,,120.472733,23.9187
永森有限公司,07002865,,彰化縣田中鎮香山里東閔路一段409號1樓,彰化縣田中鎮香山里,吳素慧,27603834,有限公司,,1071127,生產中,25金屬製品製造業,259其他金屬製品,,鍍鋅格柵板,,120.598885,23.8449554
晶磊企業股份有限公司二廠,07000953,,彰化縣和美鎮好修里西平路158巷28號1樓,彰化縣和美鎮好修里,楊中興,13051234,股份有限公司,,1020910,生產中,11紡織業、22塑膠製品製造業,112織布、220塑膠製品,,ＰＰ、ＰＥ編織袋、ＰＰ、ＰＥ編織布,,120.487106,24.1329651
暘利鋼鐵有限公司二廠,S0701215,,彰化縣彰化市東芳里永芳路540巷65號,彰化縣彰化市東芳里,林志鴻,16641038,有限公司,,1090907,生產中,25金屬製品製造業,254金屬加工處理,,,,,
鈞茂五金有限公司,99679972,,彰化縣鹿港鎮廖厝里廖厝巷１２８號,彰化縣鹿港鎮廖厝里,康秋貴,28040475,有限公司,,0950125,生產中,25金屬製品製造業,259其他金屬製品,,機械開關箱,,120.474625,24.0809879
利全工業社,S0701214,,彰化縣花壇鄉劉厝村明德街489巷10弄15號,彰化縣花壇鄉劉厝村,許書鎮,14865005,獨資,,1090903,生產中,25金屬製品製造業,254金屬加工處理,,,,,
久豐塑膠鋼模有限公司,99648164,08710007207709,彰化縣秀水鄉秀水村花秀路１０５號,彰化縣秀水鄉秀水村,黃呈擧,16503154,有限公司,0871116,0871214,生產中,29機械設備製造業、25金屬製品製造業,293通用機械設備、251金屬刀具、手工具及模具,,模具,,120.511223,24.039957
豐億塑膠廠,99678645,06710000024702,彰化縣花壇鄉崙雅村明雅街２５６巷１９弄１８號,彰化縣花壇鄉崙雅村,蘇柏燻　　　,06017160,獨資,0670223,0670809,生產中,13皮革、毛皮及其製品製造業、22塑膠製品製造業、33其他製造業,130皮革、毛皮及其製品、220塑膠製品、331育樂用品,,塑膠鞋底、塑膠管接頭、塑膠玩具,,120.528412,24.0291176
榮森企業社,07002994,,彰化縣花壇鄉文德村溪南街15號1樓,彰化縣花壇鄉文德村,林庭瑜,83817296,合夥,,1080223,生產中,13皮革、毛皮及其製品製造業,130皮革、毛皮及其製品,,皮革、毛皮及其製品,,120.5467,24.0410271
立業精密工業有限公司,07003494,,彰化縣鹿港鎮溝墘里棋盤巷77之35號1樓,彰化縣鹿港鎮溝墘里,許碧玉,85003133,有限公司,,1081220,生產中,31其他運輸工具及其零件製造業,313自行車及其零件,,自行車及其零件、汽機車零件,,120.474976,24.06988
大河超硬合金股份有限公司工廠,99650905,08410007181157,彰化縣溪湖鎮西溪里建業街三十六、三十八號,彰化縣溪湖鎮西溪里,陳淑珠,89693814,股份有限公司,0841021,0850228,生產中,25金屬製品製造業,251金屬刀具、手工具及模具,,碳化鎢模具、模具素材、刀具,,120.4851,23.9556541
泓將企業有限公司,99646492,08210007060339,彰化縣和美鎮中圍里東萊路５２４巷１８號,彰化縣和美鎮中圍里,沈玉珍,89859357,有限公司,0821120,0840111,生產中,25金屬製品製造業、29機械設備製造業、31其他運輸工具及其零件製造業,259其他金屬製品、292其他專用機械設備、303汽車零件、312機車及其零件,,衛浴零件,,120.529907,24.11175
彰力工業社,07002211,,彰化縣溪州鄉成功村頂寮巷15號1樓,彰化縣溪州鄉成功村,鄭雅雲,72382702,獨資,,1060707,生產中,22塑膠製品製造業,220塑膠製品,,塑膠袋,,120.554276,23.820631
喬克興業有限公司工廠,99646587,08110007074213,彰化縣田中鎮復興里山腳路４段２７０號,彰化縣田中鎮復興里,蕭淑貞,23489360,有限公司,0810708,0810731,生產中,11紡織業,115紡織品,,織帶、鬆緊帶,,120.60347,23.8685322
皇廣鑄造發展股份有限公司,99680286,,彰化縣北斗鎮新生里興農路１段２９３巷２０５號,彰化縣北斗鎮新生里,張豐國,22595201,股份有限公司,,0960111,生產中,23非金屬礦物製品製造業,232耐火、黏土建材及其他陶瓷製品,http://www.temc.com.tw,保溫套、塗模劑、砂心粘結劑、保溫劑、除渣劑,,120.556313,23.84492
鴻繽精密有限公司,99680502,,彰化縣彰化市香山里彰南路二段３４６巷５號１樓,彰化縣彰化市香山里,張明宗,28743664,有限公司,,0961005,生產中,25金屬製品製造業,259其他金屬製品,,園藝家庭五金,,120.585846,24.08154
毅成金屬有限公司,07001038,,彰化縣彰化市古夷里泰和路三段26巷38號1樓,彰化縣彰化市古夷里,陳錫沼,24350792,有限公司,,1021203,生產中,25金屬製品製造業,259其他金屬製品,,金屬圓球、五金製品,,120.557167,24.0943966
臺灣福大精密有限公司,99649088,07210007047467,彰化縣彰化市南瑤里大埔路４８５巷１５５號,彰化縣彰化市南瑤里,賴惠敏,80629051,有限公司,0720806,0720908,生產中,25金屬製品製造業,251金屬刀具、手工具及模具,,ＣＮＣ模具製造,,120.53933,24.06383
和憶企業股份有限公司,07001037,,彰化縣大村鄉平和村山腳路148-44號,彰化縣大村鄉平和村,林錫照,84167995,股份有限公司,,1021204,生產中,32家具製造業、25金屬製品製造業,322金屬家具、259其他金屬製品,,家具管,,120.578362,24.0000763
瓏溙精密科技有限公司,07002729,,彰化縣員林市南興里員大路1段181巷12號1樓,彰化縣員林市南興里,黃健彰,58512802,有限公司,,1070814,生產中,25金屬製品製造業,254金屬加工處理,,鐵材組件、焊接加工,,120.559853,23.965168
寶緯工業股份有限公司田尾廠,07002253,,彰化縣田尾鄉饒平村四維巷89、95號,彰化縣田尾鄉饒平村,詹勲霖,23209895,股份有限公司,,1060802,生產中,25金屬製品製造業,252金屬結構及建築組件、254金屬加工處理、259其他金屬製品,http://www.alformer.com.tw,鋁條、鋁門、鋁窗、一般鋁製加買賣,鋁合金、鋁錠,120.525604,23.8841724
台允金屬有限公司,99679941,,彰化縣彰化市東芳里永芳路４９２巷１９弄１３號１樓,彰化縣彰化市東芳里,張麗驊,16642796,有限公司,,0941226,生產中,25金屬製品製造業,254金屬加工處理,,鋁塊、鋁片、鋁環、鋁管裁剪、銅塊、銅片、銅環、銅管裁剪、鋁,,120.5116,24.0674133
億興織帶有限公司二廠,07001479,,彰化縣溪湖鎮西溪里立業街45號1樓,彰化縣溪湖鎮西溪里,楊錫玉,89856746,有限公司,,1040402,生產中,11紡織業,115紡織品,,織帶織製,,120.484772,23.9553127
彰賢興業有限公司,07000058,,彰化縣二林鎮西庄里泉西巷14號之10,彰化縣二林鎮西庄里,蔡文賢,53150055,有限公司,,0991208,生產中,25金屬製品製造業、30汽車及其零件製造業、31其他運輸工具及其零件製造業,259其他金屬製品、303汽車零件、313自行車及其零件,,其他未列名汽車零組件,,120.430077,23.9593678
學一企業股份有限公司,99645507,07310000034295,彰化縣芳苑鄉後寮村工區路２２號,彰化縣芳苑鄉後寮村,林福隆,24172848,股份有限公司,0750620,0880120,生產中,22塑膠製品製造業、25金屬製品製造業,220塑膠製品、254金屬加工處理、251金屬刀具、手工具及模具,,塑膠射出成型品電鍍、五金製品電鍍,,120.347122,23.9128571
同順工業有限公司,99646435,08310007017459,彰化縣北斗鎮中寮里光前路７之２號,彰化縣北斗鎮中寮里,陳清龍　,22800744,有限公司,0830622,0830702,生產中,28電力設備及配備製造業,285家用電器、289其他電力設備及配備,,排油煙機馬達,,120.504158,23.8778667
展新電梯有限公司,99650514,07610007057682,彰化縣社頭鄉泰安村山腳路３段１８６號,彰化縣社頭鄉泰安村,張玉鳳,60305033,有限公司,0761022,0761201,生產中,29機械設備製造業,293通用機械設備,,電梯,,120.60704,23.9175186
旻冠有限公司福興廠,99680619,,彰化縣福興鄉三汴村興業路２５號,彰化縣福興鄉三汴村,林漢隆,80591870,有限公司,,0970313,生產中,25金屬製品製造業、21橡膠製品製造業,259其他金屬製品、210橡膠製品,http://www.minkuan.com.tw,金屬墊圈（華司）、橡膠墊圈（華司）,,120.494354,24.01481
大自然企業股份有限公司二廠,S0700754,,彰化縣線西鄉下犁村下塭路500巷60號,彰化縣線西鄉下犁村,黃國晃,59170228,股份有限公司,,1090623,生產中,22塑膠製品製造業,220塑膠製品,,,,,
康德股份有限公司,99679915,,彰化縣員林市中央里中山路一段６０之１號,彰化縣員林市中央里,康志光　　,86783609,股份有限公司,,0941128,生產中,11紡織業,112織布,,針織花邊布、窗簾布、印花布等、織布,,120.561722,23.9434357
三四工程有限公司,99650718,08410007191561,彰化縣溪湖鎮北勢里北聖路一三六號,彰化縣溪湖鎮北勢里,蔡炎明,89332586,有限公司,0841104,0841117,生產中,29機械設備製造業,292其他專用機械設備、293通用機械設備,,專用生產機械、其他機械,,120.465324,23.9612942
萬代利機械股份有限公司,S0700103,,彰化縣和美鎮中圍里克東路306號,彰化縣和美鎮中圍里,王彥民,86662176,股份有限公司,,1090428,生產中,29機械設備製造業,292其他專用機械設備,,,,,
慶泰鐵工廠一廠,07003047,,彰化縣福興鄉橋頭村彰鹿路七段465號1樓,彰化縣福興鄉橋頭村,陳俊昇,77099803,合夥,,1080329,生產中,25金屬製品製造業,252金屬結構及建築組件,,金屬結構及建築組件、鐵皮屋、鐵門,,120.445419,24.0477066
家嘉餐盒食品有公司,07000188,,彰化縣永靖鄉永東村永安街91號,彰化縣永靖鄉永東村,張家飴,53364042,有限公司,,1000513,生產中,08食品製造業,089其他食品,,,,,
嘉新精密有限公司,07000189,,彰化縣彰化市莿桐里彰水路207巷18號1樓,彰化縣彰化市莿桐里,林建新,53393095,有限公司,,1000517,生產中,25金屬製品製造業,251金屬刀具、手工具及模具、259其他金屬製品,,鐵、銅、鋼、鋁材,,120.5158,24.0550823
巨財鋁門窗配件股份有限公司,99648602,07110000070432,彰化縣和美鎮源埤里南安路５０巷６號,彰化縣和美鎮源埤里,謝明仲,59253661,股份有限公司,0710302,0710406,生產中,25金屬製品製造業,259其他金屬製品,,鋁門窗,,120.511871,24.0858288
億栓實業股份有限公司,99650552,07310007047861,彰化縣埤頭鄉和豐村新生路九四號,彰化縣埤頭鄉和豊村,楊　聰　順　,06006564,股份有限公司,0730815,0740909,生產中,25金屬製品製造業,259其他金屬製品,,電腦桌、線材製品、籃架、野餐,,120.494232,23.8810329
至祥冰廠,99650155,05810000005342,彰化縣福興鄉西勢村員鹿路二段２０９號,彰化縣福興鄉西勢村,范春桃　　,58152601,獨資,0580101,0590701,生產中,33其他製造業,339未分類其他製品,,冰塊,,120.4359,24.0402
秀福銅器股份有限公司,99679881,,彰化縣秀水鄉福安村通鹿巷１０２弄３７號,彰化縣秀水鄉福安村,梁滄富,23395976,股份有限公司,,0941028,生產中,25金屬製品製造業,259其他金屬製品,,衛浴設備零件、其他金屬製品,,120.491982,24.030817
睿丞精密科技有限公司,S0700678,,彰化縣埤頭鄉芙朝村中埔路475號,彰化縣埤頭鄉芙朝村,張睿丞,24656175,有限公司,,1090616,生產中,25金屬製品製造業、30汽車及其零件製造業、31其他運輸工具及其零件製造業、32家具製造業,251金屬刀具、手工具及模具、254金屬加工處理、259其他金屬製品、303汽車零件、319未分類其他運輸工具及其零件、322金屬家具,,,,,
威皇機械工業有限公司工廠,S0700675,,彰化縣溪湖鎮大庭里崙子腳路大庭巷4號,彰化縣溪湖鎮大庭里,楊月杏,86362712,有限公司,,1090615,生產中,29機械設備製造業,293通用機械設備,,,,,
