工廠名稱,工廠登記編號,工廠設立許可案號,工廠地址,工廠市鎮鄉村里,工廠負責人姓名,統一編號,工廠組織型態,工廠設立核准日期,工廠登記核准日期,工廠登記狀態,產業類別,主要產品,WebURL,ProductName,Material,Longitude,Latitude
鴻杰鐵工廠,99667269,07510017010148,基隆市中正區社寮里和一路４１巷４弄１０號１樓,基隆市中正區社寮里,陳萬吉,00941143,獨資,0750705,0750710,生產中,31其他運輸工具及其零件製造業,311船舶及浮動設施,,機械零件，船舶機械修理,,121.767632,25.1545811
向瑒工業股份有限公司,99667360,,基隆市七堵區瑪西里大華三路8之1號2樓,基隆市七堵區瑪西里,曹永,97050624,股份有限公司,,0910826,生產中,29機械設備製造業,293通用機械設備,,空壓機,,121.68235,25.112915
隆勝機械有限公司,99667262,07410017010090,基隆市中正區和憲里和一路41巷４弄５－１號,基隆市中正區和憲里,郭騏烽,00757808,有限公司,0740619,0740702,生產中,29機械設備製造業、31其他運輸工具及其零件製造業,293通用機械設備、311船舶及浮動設施,,船舶機械修理,,121.767059,25.1544914
台灣愛米克有限公司,17000088,,基隆市安樂區內寮里武訓街74號1樓,基隆市安樂區內寮里,嚴惠馨,27597544,有限公司,,1070112,生產中,29機械設備製造業,292其他專用機械設備,,臭氧機．加藥機．控制器,,121.699379,25.1489487
華聯工程股份有限公司六堵機械工廠,99667371,05810000004125,基隆市七堵區六堵里工建路１１號,基隆市七堵區六堵里,鄭國勳,11722102,股份有限公司,0580101,0590501,生產中,25金屬製品製造業、29機械設備製造業、28電力設備及配備製造業,252金屬結構及建築組件、293通用機械設備、253金屬容器、291金屬加工用機械設備、292其他專用機械設備、283電線及配線器材、289其他電力設備及配備,http://www.ceai.com.tw,儲槽、壓力容器、塔槽、熱交換器、空氣冷卻器等,,121.701027,25.0906868
智慧光科技股份有限公司,17000037,,基隆市七堵區六堵里工建路2-1號1樓,基隆市七堵區六堵里,樵治管理顧問股份有限公司,80258993,股份有限公司,,1020417,生產中,26電子零組件製造業、27電腦、電子產品及光學製品製造業,269其他電子零組件、274資料儲存媒體,https://www.smartdisplayer.com,智能顯示卡片（ＳＭＡＲＴＤＩＳＰＬＡＹＥＲ　ＣＡＲＤ）,,121.70282,25.0880013
兆鑫科技有限公司基隆廠,17000063,,基隆市七堵區永安里俊賢路25號4樓,基隆市七堵區永安里,王俊生,27818342,有限公司,,1040501,生產中,26電子零組件製造業,269其他電子零組件,,電子零組件制造／電腦及其週邊制造／國際貿易,,121.7065,25.09477
美之因生技股份有限公司,17000026,,基隆市中正區平寮里平一路61巷13號,基隆市中正區平寮里,白鄭金櫻,24260151,股份有限公司,,1010719,生產中,08食品製造業,089其他食品,,魚鱗粉,,121.763382,25.15774
精華光學股份有限公司五堵廠,17000044,,基隆市七堵區堵南里堵南街46號及46號2樓、3樓、4樓、5樓、6樓,基隆市七堵區堵南里,陳明賢,22195654,股份有限公司,,1021118,生產中,33其他製造業,332醫療器材及用品,https://www.stshine.com.tw/,隱形眼鏡鏡片,,121.684914,25.0827961
禾全盈企業有限公司,99702564,,基隆市七堵區六堵里工建路１─３號,基隆市七堵區六堵里,江仁杰,28150628,有限公司,,0990714,生產中,33其他製造業,339未分類其他製品,,廢五金批發,,121.702766,25.0865612
台全造船有限公司,99667222,05710000003703,基隆市中正區中濱里中正路３７９號,基隆市中正區中濱里,黃竹,84698115,有限公司,0570208,0580903,生產中,25金屬製品製造業、28電力設備及配備製造業、31其他運輸工具及其零件製造業,252金屬結構及建築組件、254金屬加工處理、289其他電力設備及配備、311船舶及浮動設施,,船舶建造、船舶維修,,121.764572,25.1499844
超邁工業股份有限公司基隆三廠,99667125,08910017000019,基隆市七堵區六堵里工建北路９號２、３、４、５樓,基隆市七堵區六堵里,陳忠信,22017687,股份有限公司,0890320,0901003,生產中,22塑膠製品製造業、25金屬製品製造業、27電腦、電子產品及光學製品製造業,220塑膠製品、259其他金屬製品、271電腦及其週邊設備、272通訊傳播設備,,塑膠製品、其他金屬製品,,121.704521,25.08604
黑糖如有限公司,17000033,,基隆市七堵區永安里俊賢路53號5樓,基隆市七堵區永安里,李秀如,53701522,有限公司,,1020128,生產中,08食品製造業,089其他食品,,黑糖塊,糖,121.705887,25.0950165
福驥石材企業有限公司,99667114,06610000003158,基隆市安樂區內寮里武訓街７８號,基隆市安樂區內寮里,魏雅庵,01508384,有限公司,0660112,0670515,生產中,23非金屬礦物製品製造業,234石材製品,,石材、石材工程,,121.699249,25.1493969
華聯食品工業股份有限公司,99667199,06810000223117,基隆市七堵區自強里自強路１０２、１０２之１號,基隆市七堵區自強里,林榮吉,00713181,股份有限公司,0681120,0691028,生產中,08食品製造業,089其他食品,,魚板、仿蟹棒、蝦球、海鮮魚卵棒,魚漿,121.712952,25.11034
創昇股份有限公司,99667220,08010017020174,基隆市七堵區瑪南里大成街４９－４號,基隆市七堵區瑪南里,郭明彰,04799766,股份有限公司,0801220,0820612,生產中,25金屬製品製造業,252金屬結構及建築組件,,彩色樹脂鋼板捲門,,121.686386,25.1079159
昇達科技股份有限公司機械廠,99702551,,基隆市七堵區六堵里工建南路１３號,基隆市七堵區六堵里,陳淑敏,16999508,股份有限公司,,0981223,生產中,26電子零組件製造業,262被動電子元件,http://www.umt-tw.com,濾波器、雙工器、耦合元件、循環元件、傳輸元件及其他,,121.702774,25.08427
能誌機械工程有限公司,99702542,,基隆市七堵區六堵里工建南路１５號,基隆市七堵區六堵里,周德和,04832929,有限公司,,0980415,生產中,25金屬製品製造業,252金屬結構及建築組件、253金屬容器、254金屬加工處理,,金屬結構材料製造加工,,121.7028,25.0842056
有信國際股份有限公司,99702559,,基隆市七堵區六堵里工建北路１２號,基隆市七堵區六堵里,吳碧慧,96927582,股份有限公司,,0990610,生產中,26電子零組件製造業、28電力設備及配備製造業,262被動電子元件、269其他電子零組件、284照明設備及配備,,鋼材加工、鋁材加工,,121.704384,25.0852375
復成船舶機械工程有限公司,99667387,,基隆市安樂區中崙里武訓街１３號,基隆市安樂區中崙里,陳秀蔭,22298960,有限公司,,0920528,生產中,29機械設備製造業、31其他運輸工具及其零件製造業,293通用機械設備、311船舶及浮動設施,,船舶各種電焊、機械安裝、冷作、鉗工,,121.698257,25.1432323
奇研企業有限公司六堵廠,17000027,,基隆市七堵區六堵里工建南路2號,基隆市七堵區六堵里,顏秀芬,70481564,有限公司,,1010921,生產中,24基本金屬製造業、25金屬製品製造業,241鋼鐵、252金屬結構及建築組件、259其他金屬製品,,金屬結構及建築組件,,121.70179,25.0864964
柏肯有限公司,17000094,,基隆市七堵區六堵里工建路5之3號(1樓),基隆市七堵區六堵里,林麗梅,80292726,有限公司,,1071019,生產中,23非金屬礦物製品製造業、25金屬製品製造業,231玻璃及其製品、232耐火、黏土建材及其他陶瓷製品、252金屬結構及建築組件、254金屬加工處理,,玻璃加工,,121.701553,25.0889511
敦南科技股份有限公司基隆廠,99667272,07910000339042,基隆市安樂區中崙里武訓街２８之１號,基隆市安樂區中崙里,謝慶勲,23528103,股份有限公司,0791220,0791228,生產中,26電子零組件製造業,261半導體、269其他電子零組件,http://www.liteon-semi.com/_ch/,半導體、電子整流元件,,121.701851,25.14223
皇麒機械工程有限公司,99702538,,"基隆市七堵區六堵里工建南路５─ ４號",基隆市七堵區六堵里,余信統,23177161,有限公司,,0980205,生產中,29機械設備製造業,293通用機械設備,,機械設備,,121.701904,25.086832
唐威電子有限公司基隆廠,17000023,,基隆市中正區新富里新豐街135號,基隆市中正區新富里,韋素珍,22470928,有限公司,,1010614,生產中,26電子零組件製造業,269其他電子零組件,,空氣清淨機、負離子產生器、高壓產生器,,121.789711,25.1398525
福基創新材料股份有限公司,99667150,06910000136833,基隆市七堵區瑪南里大華二路１４４號,基隆市七堵區瑪南里,陳明聰,04807528,股份有限公司,0690626,0710226,生產中,11紡織業、13皮革、毛皮及其製品製造業,111紡紗、112織布、113不織布、114染整、130皮革、毛皮及其製品,http://www.fuchitex.com,牛皮、針織布、平織絨布、毛織布、染整,,121.690536,25.1103878
中華鐵工廠有限公司,99667252,06210000103794,基隆市七堵區堵南里大德路８號,基隆市七堵區堵南里,林念台,56606584,有限公司,0620814,0630108,生產中,29機械設備製造業,292其他專用機械設備、293通用機械設備,,電氣器具及毛紡、化學機械、造船機件,,121.690109,25.0798035
北都冷凍食品工業股份有限公司,99667163,05810000004671,基隆市中正區碧砂里北寧路２２３號,基隆市中正區碧砂里,黃世朋,02512007,股份有限公司,0580101,0591001,生產中,08食品製造業,082水產加工、089其他食品,,冷凍水產品，冷凍魚漿，冷藏調製,,121.7903,25.1421928
鈞詮實業有限公司,17000051,,基隆市七堵區八德里八德路13之2號,基隆市七堵區八德里,劉默雅,28504642,有限公司,,1030909,生產中,25金屬製品製造業,254金屬加工處理,,金屬加工處理,,121.722549,25.1035347
銓峰鋼鋁有限公司,99702539,,基隆市七堵區六堵里工建北路２０號,基隆市七堵區六堵里,王秀蘭,22860382,有限公司,,0980226,生產中,25金屬製品製造業,252金屬結構及建築組件,,家用大門、折疊門、室內門、鋁門窗,鋁料、鎖具,121.704422,25.0850468
富基鐵工廠股份有限公司,99667187,06610000055966,基隆市安樂區內寮里武訓街７１號,基隆市安樂區內寮里,蔡國智,00802260,股份有限公司,0660101,0700622,生產中,25金屬製品製造業、31其他運輸工具及其零件製造業,252金屬結構及建築組件、319未分類其他運輸工具及其零件,,金屬結構及建築組件、其他金屬製品,型鋼、鋼板,121.697662,25.1505127
南方金屬科技有限公司,17000103,,基隆市安樂區新崙里基金一路379巷25號,基隆市安樂區新崙里,陳宜湖,53089910,有限公司,,1090624,生產中,25金屬製品製造業、25金屬製品製造業,252金屬結構及建築組件,,,,,
