工廠名稱,工廠登記編號,工廠設立許可案號,工廠地址,工廠市鎮鄉村里,工廠負責人姓名,統一編號,工廠組織型態,工廠設立核准日期,工廠登記核准日期,工廠登記狀態,產業類別,主要產品,WebURL,ProductName,Material,Longitude,Latitude
台灣塑膠工業股份有限公司新港廠,99655042,07610000121932,嘉義縣新港鄉中洋村中洋工業區３號,嘉義縣新港鄉中洋村,施富義,75708007,股份有限公司,0760410,0800812,生產中,18化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業、22塑膠製品製造業,184塑膠及合成橡膠原料、220塑膠製品,http://www.fpg.com.tw,高吸水性樹脂、聚縮醛,,120.386116,23.51827
藝昌陶藝廠,99655118,08210010000171,嘉義縣新港鄉板頭村灣子內４２－３號,嘉義縣新港鄉板頭村,陳謝秋緞,78451254,獨資,0810312,0810312,生產中,23非金屬礦物製品製造業,232耐火、黏土建材及其他陶瓷製品,,陶瓷品,,120.31678,23.5703983
金緹股份有限公司,S1000091,,嘉義縣布袋鎮貴舍里10鄰半月97號,嘉義縣布袋鎮貴舍里,劉上慈,16702457,股份有限公司,,1090601,生產中,25金屬製品製造業,254金屬加工處理、259其他金屬製品,,,,,
同興農業有限公司嘉義廠,99675960,,嘉義縣大林鎮平林里中正路２３０巷２弄８０號,嘉義縣大林鎮平林里,邱炳烈,28016377,有限公司,,0950706,生產中,18化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,183肥料及氮化合物,,肥料、營養劑加工,黃豆粉、尿素、菌種、糖,120.451965,23.5987282
佳螺實業股份有限公司朴子廠,99654901,08810000812299,嘉義縣朴子市竹村里朴子工業區橫一街4號,嘉義縣朴子市竹村里,李有國,66579501,股份有限公司,0881124,0881215,生產中,11紡織業、12成衣及服飾品製造業,115紡織品,,床罩、床單、棉被、絲毯,,120.279976,23.4793949
加瑞企業有限公司,99656081,08310010007406,嘉義縣太保市過溝里過溝２１號,嘉義縣太保市過溝里,李梅芬,84992757,有限公司,0831205,0831219,生產中,25金屬製品製造業、30汽車及其零件製造業、31其他運輸工具及其零件製造業,259其他金屬製品、303汽車零件、312機車及其零件,,汽機車零件，針車零件，五金零件，機械零件,,120.360214,23.4981155
冠賢機電股份有限公司民雄廠,99654789,08510010401948,嘉義縣民雄鄉北斗村成功二街３５號,嘉義縣民雄鄉北斗村,林建祥,84846045,股份有限公司,0850216,0851016,生產中,28電力設備及配備製造業,281發電、輸電及配電機械、283電線及配線器材,http://www.gwanhsian.com.tw/,自動控制設備、配電盤、鐵箱、白鐵箱,,120.458916,23.5252533
御醬生物科技廠,99655464,06410000052786,嘉義縣新港鄉古民村中正路３３６號,嘉義縣新港鄉古民村,何其峻,65534540,獨資,0580101,0640611,生產中,08食品製造業、09飲料製造業,089其他食品,,,,,
森懋木業有限公司,S1000089,,嘉義縣新港鄉潭大村潭子墘10號之50,嘉義縣新港鄉潭大村,籃朝聰,89822628,有限公司,,1090603,生產中,14木竹製品製造業、14木竹製品製造業,140木竹製品,,,,,
英濟股份有限公司民雄廠,10000444,,嘉義縣民雄鄉興南村工業三路6之4號,嘉義縣民雄鄉興南村,徐文麟,86362776,股份有限公司,,1090817,生產中,22塑膠製品製造業、25金屬製品製造業,220塑膠製品、251金屬刀具、手工具及模具,,,,,
百隆企業社一廠,10000359,,嘉義縣義竹鄉龍蛟村龍蛟潭79號,嘉義縣義竹鄉龍蛟村,陳麗純,09012148,獨資,,1080128,生產中,30汽車及其零件製造業、30汽車及其零件製造業,303汽車零件,,汽車零件,,120.222664,23.3733025
瑞泰工業社,S1000006,,嘉義縣水上鄉回歸村15鄰北回66之5號,嘉義縣水上鄉回歸村,林月嬌,06296493,獨資,,1090423,生產中,30汽車及其零件製造業、30汽車及其零件製造業、32家具製造業、33其他製造業,303汽車零件、321非金屬家具、331育樂用品,,,,,
晟業君鼎有限公司,10000324,,嘉義縣竹崎鄉白杞村4鄰36號,嘉義縣竹崎鄉白杞村,邱秀芳,24906201,有限公司,,1070705,生產中,09飲料製造業,091酒精飲料,,蒸餾酒,,120.600189,23.48962
榕懋實業股份有限公司,99676111,,嘉義縣民雄鄉興南村工業二路6、6-1、6-2號,嘉義縣民雄鄉興南村,黃啟宗,23519126,股份有限公司,,0990809,生產中,33其他製造業、32家具製造業,332醫療器材及用品、322金屬家具,http://www.apexcare.com.tw,醫療輔助器材、病床、病人搬運架,鋼鐵、不銹鋼、木板,120.433846,23.5222416
宇銓工業股份有限公司二廠,S1000010,,嘉義縣水上鄉柳鄉村柳仔林189-9號,嘉義縣水上鄉柳鄉村,黃永坤,23240283,股份有限公司,,1090425,生產中,28電力設備及配備製造業,289其他電力設備及配備,,,,,
亦祥企業有限公司,99655446,07010000145672,嘉義縣朴子市竹村里朴子工業區三街２號,嘉義縣朴子市竹村里,陳嘉雯,66641815,有限公司,0700717,0730528,生產中,29機械設備製造業,292其他專用機械設備,,播種機械,,120.247139,23.43955
永馳化學股份有限公司中正廠,99676033,,嘉義縣民雄鄉北斗村中正路４０之１號,嘉義縣民雄鄉北斗村,蘇育正,22748918,股份有限公司,,0970430,生產中,18化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,184塑膠及合成橡膠原料,,ＰＵ樹脂－硬質．半軟．ＰＵ發泡原料．異氰酸鹽樹脂、多元醇,,120.4547,23.5196133
森泉企業股份有限公司民雄廠,99675734,,嘉義縣民雄鄉北斗村中興街１０號,嘉義縣民雄鄉北斗村,邱明琴,12633873,股份有限公司,,0911219,生產中,28電力設備及配備製造業,285家用電器,https://jinkon.com.tw/index.php?fn=about&no5=C,全自動溫熱開飲機、半自動冰溫熱開飲機、智慧型溫熱開飲機、開飲機濾心,,120.460518,23.5196247
嘉發鐵工廠,99656033,07510000267362,嘉義縣中埔鄉富收村22鄰富裕路437號,嘉義縣中埔鄉富收村,蕭信安,06257203,獨資,0750923,0750923,生產中,29機械設備製造業、25金屬製品製造業,293通用機械設備、253金屬容器,,鍋爐,,120.46936,23.4438
