工廠名稱,工廠登記編號,工廠設立許可案號,工廠地址,工廠市鎮鄉村里,工廠負責人姓名,統一編號,工廠組織型態,工廠設立核准日期,工廠登記核准日期,工廠登記狀態,產業類別,主要產品,WebURL,ProductName,Material,Longitude,Latitude
新正木材工廠,99666525,07510014284052,臺東縣臺東市豐年里中興路三段四Ｏ七號,臺東縣臺東市豐年里,蔡素雲,93335403,獨資,0751123,0751123,生產中,14木竹製品製造業,140木竹製品,,木材製品：柳安製品、加工為大宗,,121.109673,22.7715073
和記冷凍冷藏有限公司,14000027,,臺東縣臺東市豐樂里大業路106號,臺東縣臺東市豐樂里,許志良,54961406,有限公司,,1071213,生產中,33其他製造業,339未分類其他製品,,冷凍冷藏倉儲經營,,121.13089,22.7545567
榮裕被服廠,99666465,07610014028306,臺東縣臺東市文化里七鄰中山路三一Ｏ號三樓,臺東縣臺東市文化里,王聖德,93407004,獨資,0760418,0760421,生產中,12成衣及服飾品製造業,121成衣,,成衣，帽子，書包，運動服,,121.149788,22.75464
超能生化科技股份有限公司台東分公司初鹿牧場,99666378,07010014161118,臺東縣卑南鄉明峰村牧場一號,臺東縣卑南鄉明峰村,陳樂維,28014434,股份有限公司,0700930,0701121,生產中,08食品製造業,085乳品,https://www.chuluranch.com.tw/,鮮乳、煉乳、調味乳,生乳,121.109169,22.8650436
東元益鐵工廠,99666355,,臺東縣臺東市豐樂里大孝路八十二號,臺東縣臺東市豐樂里,楊淑華,93125808,獨資,,0830113,生產中,25金屬製品製造業,251金屬刀具、手工具及模具,,農具鋤頭、鐮刀等鐵器,,121.131889,22.7558289
大明鐵材行,99666397,07510014208916,臺東縣臺東市四維里五鄰強國街三二Ｏ號,臺東縣臺東市四維里,陳建均,93673558,獨資,0750701,0750728,生產中,25金屬製品製造業,252金屬結構及建築組件,,鐵門、鐵窗、鐵厝,,121.154266,22.7625275
中華紙漿股份有限公司台東廠,99666348,05910014002978,臺東縣臺東市豐田里中興路四段三七一號,臺東縣臺東市豐田里,陳永順,94025264,股份有限公司,0590101,0590101,生產中,15紙漿、紙及紙製品製造業,151紙漿、紙、紙板,,西卡紙、模造紙、銅版卡紙、紙板,,121.09536,22.77377
加統石業開拓有限公司,99666390,07710014038066,臺東縣臺東市豐年里中興路三段五七九巷五四弄六Ｏ號,臺東縣臺東市豐年里,徐安全,22703530,有限公司,0770523,0771006,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品,,麥飯石粉、麥飯石灰,,121.101814,22.771
東興彩色印刷廠,99666369,08010014071806,臺東縣臺東市豐樂里大道路二號,臺東縣臺東市豐樂里,謝環霙,93707115,獨資,0800321,0870203,生產中,16印刷及資料儲存媒體複製業,160印刷及資料儲存媒體複製,,印刷品,,121.132759,22.757452
益興製冰廠,99666320,07210014083550,臺東縣臺東市正氣北路三五Ｏ巷四十五號,臺東縣臺東市豐樂里,張葉仔,93691459,獨資,0721222,0750909,生產中,08食品製造業,089其他食品,,冰塊，冰淇淋，冰棒，冬瓜茶，紅茶,,121.135086,22.7544441
陽宸企業有限公司,99666376,08010014329286,臺東縣臺東市豐田里中興路四段二巷一六五號,臺東縣臺東市豐田里,侯秋霞,24429329,有限公司,0801113,0810727,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品、233水泥及其製品,,預拌混凝土、瀝青混凝土,,121.105476,22.77551
永涼冰廠,99666410,06010014038649,臺東縣關山鎮中福里十五鄰中山路二十二號,臺東縣關山鎮中福里,洪世保,93454717,獨資,0600510,0600513,生產中,08食品製造業,089其他食品,,冰塊、冰棒,,121.163956,23.0470238
梓園碾米工廠有限公司,99711007,,臺東縣關山鎮德高里永豐69、69-3、69-5、69-6、69-8、69-9、69-10、69-2號,臺東縣關山鎮德高里,范綱亮,54959936,有限公司,,0980618,生產中,08食品製造業,086碾榖、磨粉及澱粉製品,http://www.rices.com.tw,白米、糙米、米糠（皇帝米、後山米）,稻穀,121.174362,23.07659
青澤良品食品有限公司,14000042,,臺東縣臺東市豐榮里大勇路18號,臺東縣臺東市豐榮里,陳虹廷,54992800,有限公司,,1091019,生產中,08食品製造業、08食品製造業,089其他食品,,,,,
臺東地區農會碾米工廠,99666422,07510014090004,臺東縣臺東市建農里知本路一段三ＯＯ巷一一二號,臺東縣臺東市建農里,李建通,93651689,農會組織,0751121,0760112,生產中,08食品製造業,086碾榖、磨粉及澱粉製品,,白米,,121.086678,22.7230778
關山穀堡實業有限公司,14000015,,臺東縣關山鎮新福里1鄰順興36號,臺東縣關山鎮新福里,劉德隆,24851711,有限公司,,1050727,生產中,08食品製造業,086碾榖、磨粉及澱粉製品,,糙米白米,,121.16745,23.0510788
南潔新事業股份有限公司,14000030,,臺東縣臺東市豐樂里大忠路30號,臺東縣臺東市豐樂里,朱梅春,54996876,股份有限公司,,1080814,生產中,29機械設備製造業,292其他專用機械設備,,其他專用機械設備,,121.131989,22.7571449
宏騰砂石有限公司,S1400004,,臺東縣臺東市富岡南段962地號,臺東縣臺東市,王建惠,53131620,有限公司,,1090520,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品,,,,,
松揚餐飲股份有限公司,14000006,,臺東縣臺東市豐樂里大道路1號,臺東縣臺東市豐樂里,謝佩錡,53404234,股份有限公司,,1020204,生產中,08食品製造業、08食品製造業,089其他食品,,未分類其他食品,,121.132759,22.757452
金瑞泰鐵工廠,99666405,06910014088539,臺東縣臺東市中正里福建路一五Ｏ號,臺東縣臺東市中正里,盧建榮,93181202,獨資,0690228,0690228,生產中,24基本金屬製造業,241鋼鐵,,鐵材、鐵板熔接,,121.154,22.75404
時岱企業有限公司福建路工廠,99666394,07010014257270,臺東縣臺東市中正里福建路一Ｏ八號,臺東縣臺東市中正里,胡文玲,86756883,有限公司,0701231,0720830,生產中,16印刷及資料儲存媒體複製業,160印刷及資料儲存媒體複製,,印刷,,121.154953,22.7549973
富源製磚有限公司,99666446,05910014096952,臺東縣臺東市富豐里志航路三段六四巷四號,臺東縣臺東市富豐里,謝宗明,93289484,有限公司,0591002,0591008,生產中,23非金屬礦物製品製造業,232耐火、黏土建材及其他陶瓷製品、239其他非金屬礦物製品,,紅磚,,121.162888,22.7872524
向陽礦業股份有限公司,99666434,06410014171157,臺東縣臺東市豐年里臺東縣臺東市中興路三段五七九巷二十四號,臺東縣臺東市豐年里,江政怡,93642423,股份有限公司,0641205,0650510,生產中,23非金屬礦物製品製造業、19其他化學製品製造業、18化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,239其他非金屬礦物製品、192塗料、染料及顏料、183肥料及氮化合物,,雲母粉,雲母礦石,121.105865,22.7717724
鴻騰鋼鐵有限公司,99666353,08010014339438,臺東縣臺東市豐樂里大德路十四號,臺東縣臺東市豐樂里,李淑祉,28650953,有限公司,0800107,0820914,生產中,25金屬製品製造業,252金屬結構及建築組件,,鋼筋，型鋼加工,,121.13208,22.7578259
裕豐鐵工廠,99666329,07610014254463,臺東縣臺東市豐樂里大業路一三四號,臺東縣臺東市豐樂里,李裕豐,93689720,獨資,0760807,0790625,生產中,25金屬製品製造業,252金屬結構及建築組件、259其他金屬製品,,鐵窗、鐵捲門、農機修理、熱水爐,,121.130508,22.7534523
東太陽製酒股份有限公司,99666549,,臺東縣臺東市豐年里中興路3段629之5號,臺東縣臺東市豐年里,劉虹汶,28584650,股份有限公司,,0961123,生產中,09飲料製造業,091酒精飲料,,酒製品,,121.105148,22.77202
國豐碾米工廠,99666509,06110014118192,臺東縣臺東市民生里更生路三五二號,臺東縣臺東市民生里,吳節妹,93288302,獨資,0611116,0611123,生產中,08食品製造業,086碾榖、磨粉及澱粉製品,,糙米，白米,,121.144333,22.76118
信華農特產股份有限公司,99666542,,臺東縣臺東市豐樂里正氣北路440號,臺東縣臺東市豐樂里,施順義,12900701,股份有限公司,,0951228,生產中,09飲料製造業,091酒精飲料,,小米酒、鹿茸酒,,121.132416,22.754715
佳宏生物科技有限公司,14000032,,臺東縣臺東市豐田里中興路四段133巷9弄103號,臺東縣臺東市豐田里,唐千惠,24410855,有限公司,,1081031,生產中,08食品製造業,083蔬果加工,,蔬果加工,,121.102844,22.7722263
建興碾米工廠,99666302,06110014118409,臺東縣池上鄉福原村十鄰中山路一九三號,臺東縣池上鄉福原村,梁正賢,93242502,獨資,0611116,0611123,生產中,08食品製造業,086碾榖、磨粉及澱粉製品,,糙米，白米,,121.217621,23.123991
長濱鄉農會水泥預拌廠,99666472,08610014804553,臺東縣長濱鄉三間村六鄰六一之一號,臺東縣長濱鄉三間村,林純美,74909695,農會組織,0860603,0880614,生產中,23非金屬礦物製品製造業,233水泥及其製品,,預拌混凝土,,121.457047,23.38266
新益鐵工廠,99666421,07510014134928,臺東縣臺東市民生里博愛路二七Ｏ號,臺東縣臺東市民生里,楊福隆,93624868,獨資,0750613,0750613,生產中,29機械設備製造業,292其他專用機械設備,,鐵材加工,,121.1501,22.7588272
豐隆鐵工廠,99666454,07510014076489,臺東縣臺東市民生里博愛路二九四號,臺東縣臺東市民生里,李東昇,93624488,獨資,0750313,0750415,生產中,25金屬製品製造業,259其他金屬製品,,鐵器加工,,121.14978,22.7585068
富裕木業行,S1400001,,臺東縣卑南鄉泰安村泰安66號,臺東縣卑南鄉泰安村,楊勢昌,12062515,獨資,,1090427,生產中,14木竹製品製造業、22塑膠製品製造業,140木竹製品、220塑膠製品,,,,,
臺東地區農會食品加工廠,99666354,07510014138250,臺東縣太麻里鄉三和村一鄰漁場一號,臺東縣太麻里鄉三和村,李建通,08106441,農會組織,0750626,0750912,生產中,09飲料製造業,091酒精飲料、092非酒精飲料,,濃糖果汁、蜜餞、冰品、代工,,121.040154,22.6740322
出力釀酒業有限公司,14000036,,臺東縣東河鄉都蘭村61號,臺東縣東河鄉都蘭村,高悅心,54953150,有限公司,,1081226,生產中,09飲料製造業,091酒精飲料,,酒精飲料,,121.22612,22.8724689
新農碾米工廠,99666449,06810014222157,臺東縣長濱鄉長濱村長濱一一五號,臺東縣長濱鄉長濱村,鄭木芳,93654291,獨資,0681023,0760529,生產中,08食品製造業,086碾榖、磨粉及澱粉製品,,糙米、白米,,121.4561,23.3185711
祥興砂石行,S1400002,,臺東縣太麻里鄉美和村美和28之6號,臺東縣太麻里鄉美和村,陳秋郎,93749591,獨資,,1090427,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品,,,,,
太煌企業有限公司,99711014,,臺東縣臺東市富岡里吉林路一段１２０４巷７７號,臺東縣臺東市富岡里,田伍成,23493239,有限公司,,0990224,生產中,23非金屬礦物製品製造業,233水泥及其製品、239其他非金屬礦物製品,,碎石、砂、級配、混凝土、環保,,121.176514,22.7754555
宏全鐵材行,99666503,07510014203566,臺東縣關山鎮月眉里盛豐路四之一號,臺東縣關山鎮月眉里,林日輝,93717872,獨資,0750603,0750708,生產中,25金屬製品製造業,252金屬結構及建築組件,,,,,
新永裕碾米工廠,99666406,07610014008049,臺東縣臺東市豐原里四川路二段一七九巷二號,臺東縣臺東市豐原里,盧廷榮,93638758,獨資,0760205,0760216,生產中,08食品製造業,086碾榖、磨粉及澱粉製品,,白米,,121.11393,22.7370586
惠捷實業有限公司,14000010,,臺東縣臺東市豐田里博物館路195號,臺東縣臺東市豐田里,陳青杰,54663384,有限公司,,1040626,生產中,11紡織業,114染整,,床單，布巾洗滌業,,121.09539,22.7696285
穗記碾米廠,99666471,07210014039996,臺東縣長濱鄉三間村十一鄰十一號,臺東縣長濱鄉三間村,林曾秋鸞,93444704,獨資,0720628,0720720,生產中,08食品製造業,086碾榖、磨粉及澱粉製品,,糙米,,121.4711,23.376955
久明企業有限公司大武廠,99666301,09010014800004,臺東縣大武鄉大竹村五鄰愛國蒲74號,臺東縣大武鄉大竹村,張仁宏,86901676,有限公司,0900226,0900601,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品、233水泥及其製品,,砂石、碎石級配,,120.935341,22.4561977
志鼎企業有限公司豐興廠,14000021,,臺東縣臺東市豐田里豐興路36號,臺東縣臺東市豐田里,戴志霖,23821319,有限公司,,1060802,生產中,23非金屬礦物製品製造業、25金屬製品製造業,233水泥及其製品、252金屬結構及建築組件,http://www.chihlin.com.tw,覆工板、消火栓混凝土製品、混凝土牆柱、牆板等,,121.100372,22.7747879
台灣糖業股份有限公司台東企業工會,99666493,06110014136592,臺東縣臺東市光明里中興路２段１９１號,臺東縣臺東市光明里,林裕發,62963820,股份有限公司,0611227,0611227,生產中,08食品製造業,089其他食品,,冰品、農特產,,121.128952,22.7669735
長濱鄉農會碾米加工廠,99666461,07510014081185,臺東縣長濱鄉忠勇村忠勇路二六之五號,臺東縣長濱鄉忠勇村,林純美,08109340,農會組織,0751101,0760112,生產中,08食品製造業,086碾榖、磨粉及澱粉製品,,糙米、白米,,121.441711,23.3246231
南王冷凍實業股份有限公司,99666498,06610014137582,臺東縣臺東市南榮里更生路一一七六號,臺東縣臺東市南榮里,林國勳,93441930,有限公司,0660820,0681231,生產中,08食品製造業,089其他食品,,,,,
良星企業股份有限公司,99666417,,臺東縣臺東市豐年里臺東縣臺東市中興路三段五四八之一號,臺東縣臺東市豐年里,許文良,93710961,股份有限公司,,0700427,生產中,08食品製造業,083蔬果加工,,鹽漬蔬果，梅胚,,121.107262,22.7723446
礐興企業股份有限公司太麻里廠,99666545,,臺東縣太麻里鄉泰和村18鄰太麻里街619號,臺東縣太麻里鄉泰和村,曾傳銘,22988640,股份有限公司,,0960131,生產中,23非金屬礦物製品製造業、23非金屬礦物製品製造業,233水泥及其製品、239其他非金屬礦物製品,,預拌混凝土,,121.007431,22.5968742
山月稻鄉有限公司,14000020,,臺東縣關山鎮月眉里中和27-1號,臺東縣關山鎮月眉里,林燕珠,55925884,有限公司,,1060509,生產中,08食品製造業,086碾榖、磨粉及澱粉製品,,碾白米,稻穀,121.152519,23.0186443
佳興食品廠,99666457,08210014086935,臺東縣臺東市豐田里中興路四段十九、二十一號,臺東縣臺東市豐田里,唐康碧霞,93841149,獨資,0821221,0840327,生產中,08食品製造業,083蔬果加工,,落神花蜜餞,,121.102882,22.7728729
日烽實業有限公司關山廠,99666520,07410014360534,臺東縣關山鎮月眉里中和路三十九之一號,臺東縣關山鎮月眉里,趙俊嵐,84678321,有限公司,0741115,0741128,生產中,23非金屬礦物製品製造業、23非金屬礦物製品製造業,239其他非金屬礦物製品,,,,,
陳協和碾米工廠,99666486,06110014118439,臺東縣池上鄉萬安村萬安一號,臺東縣池上鄉萬安村,施玉雲,93270746,獨資,0611116,0611123,生產中,08食品製造業,086碾榖、磨粉及澱粉製品,http://www.csr.com.tw,糙米，白米,稻穀,121.213882,23.1166286
騰達鐵鋁加工廠荒野廠,14000037,,臺東縣太麻里鄉美和村荒野18之6號,臺東縣太麻里鄉美和村,黃月娥,93714798,合夥,,1090217,生產中,25金屬製品製造業,252金屬結構及建築組件,,,,,
瑞晟砂石有限公司,14000003,,臺東縣臺東市豐原里中華路4段998巷360號,臺東縣臺東市豐原里,翁許貴蘭,53145814,有限公司,,1001130,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品、233水泥及其製品,,土石、碎石級配、砂、預拌混凝土,,121.0971,22.7268524
雅華裝璜社,99666480,07510014269312,臺東縣臺東市自強里仁愛里四維路一段五三九號,臺東縣臺東市自強里,溫武一,93658727,獨資,0751002,0751002,生產中,32家具製造業,321非金屬家具,,木器加工，木製傢俱加工,,121.155708,22.7578144
堃豐實業有限公司,99666508,,臺東縣臺東市豐田里中興路四段二巷一一五號,臺東縣臺東市豐田里,吳泰福,13066497,有限公司,,0920430,生產中,23非金屬礦物製品製造業,233水泥及其製品,,植草磚、空心磚、連鎖磚、高壓地磚,,121.104118,22.7724686
志昇預拌混凝土有限公司,14000041,,臺東縣關山鎮新福里順興路27之2號,臺東縣關山鎮新福里,黃榮鴻,89694779,有限公司,,1090717,生產中,23非金屬礦物製品製造業、23非金屬礦物製品製造業,233水泥及其製品,,,,,
新義群實業股份有限公司,14000026,,臺東縣臺東市豐年里中興路四段133巷9弄113號,臺東縣臺東市豐年里,潘慶懋,56030505,股份有限公司,,1071002,生產中,23非金屬礦物製品製造業,233水泥及其製品、239其他非金屬礦物製品,,預拌混凝土,,121.102592,22.7717972
展憲企業有限公司,99666367,,臺東縣成功鎮忠仁里麒麟路二００號,臺東縣成功鎮忠仁里,羅吉華,13012802,有限公司,,0911129,生產中,23非金屬礦物製品製造業,233水泥及其製品,,預拌混凝土,,121.36718,23.1003971
志鼎企業有限公司,99666322,08010014080194,臺東縣臺東市豐樂里大正路十六號,臺東縣臺東市豐樂里,戴志霖,23821319,有限公司,0800119,0810207,生產中,23非金屬礦物製品製造業,233水泥及其製品,,混凝土隔離板、牆板、水泥柱、預鑄廁所等,,121.1328,22.7550488
山林鐵工廠,99666317,08010000339441,臺東縣臺東市豐樂里大正路6號,臺東縣臺東市豐樂里,林裕仁,78759922,獨資,0800107,0830111,生產中,24基本金屬製造業,241鋼鐵,,鐵材加工,,121.133812,22.75651
勁揚生物科技有限公司,14000024,,臺東縣臺東市南榮里志航路一段847巷56號,臺東縣臺東市南榮里,楊修銘,56225500,有限公司,,1070731,生產中,08食品製造業,089其他食品,http://manman.com.tw,水果釀造醋,,121.136559,22.79123
和興碾米工廠,99666399,06110014118411,臺東縣臺東市中心里新生路五八八巷三十六號,臺東縣臺東市中心里,吳金盛,93195000,獨資,0611117,0611123,生產中,08食品製造業,086碾榖、磨粉及澱粉製品,,糙米，白米,,121.138725,22.7620983
鴻益板金鐵工廠,99666338,08110014073940,臺東縣臺東市豐樂里大勇路二號,臺東縣臺東市豐樂里,柯養,12098859,獨資,0810714,0811125,生產中,25金屬製品製造業、30汽車及其零件製造業,252金屬結構及建築組件、302車體,,鐵材加工、鐵門、鐵厝、鐵窗,,121.130226,22.7546368
臺東縣農會飼料廠,14000009,,臺東縣臺東市新園里中興路6段407號,臺東縣臺東市新園里,戴振東,78757591,農會組織,,1040525,生產中,08食品製造業,087動物飼品,,配合飼料,,121.060669,22.76625
永美畜產加工廠,99666391,08810014809868,臺東縣臺東市豐田里中興路四段一八三號,臺東縣臺東市豐田里,黃昭純,74913902,獨資,0880803,0881013,生產中,08食品製造業,081肉類加工,,肉類加工：香腸、肉干、肉片、臘肉,,121.099319,22.7730865
元盛鋁業工廠,99666382,07710014284127,臺東縣臺東市豐樂里大業路一三二巷一號,臺東縣臺東市豐樂里,黃清何,78757987,合夥,0771228,0820323,生產中,25金屬製品製造業,252金屬結構及建築組件,,鋁門窗加工、鋁製品加工,,121.13118,22.7523022
上鴻冰廠,99666407,07710014277715,臺東縣關山鎮新福里溪埔一之四號,臺東縣關山鎮新福里,洪世保,12064295,獨資,0771108,0780201,生產中,08食品製造業,089其他食品,,冰塊，冰棒,,121.1658,23.04897
璞草園農創產業有限公司,14000017,,臺東縣臺東市豐樂里正氣北路496號,臺東縣臺東市豐樂里,許聰和,42589831,有限公司,,1051202,生產中,19其他化學製品製造業,194化粧品,,精油香皂,,121.131783,22.7550011
竹帛園企業有限公司,14000016,,臺東縣臺東市豐樂里大勇路22號,臺東縣臺東市豐樂里,陳秀盈,23501771,有限公司,,1050815,生產中,25金屬製品製造業,252金屬結構及建築組件,,、材,,121.130165,22.7537842
