工廠名稱,工廠登記編號,工廠設立許可案號,工廠地址,工廠市鎮鄉村里,工廠負責人姓名,統一編號,工廠組織型態,工廠設立核准日期,工廠登記核准日期,工廠登記狀態,產業類別,主要產品,WebURL,ProductName,Material,Longitude,Latitude
合佳興業股份有限公司,02000367,,宜蘭縣五結鄉五結村國民南路35-6號,宜蘭縣五結鄉五結村,陳瑤玲,68617663,股份有限公司,,1081227,生產中,23非金屬礦物製品製造業,232耐火、黏土建材及其他陶瓷製品,,耐火材料,,121.784515,24.6877041
米鄉麥芽工廠,02000125,,宜蘭縣宜蘭市新生里宜興路三段132號,宜蘭縣宜蘭市新生里,張聿翔,39978006,獨資,,1030310,生產中,08食品製造業,089其他食品,,麥芽糖,,121.7595,24.7696552
方昌木業股份有限公司,99620321,06810000107718,宜蘭縣冬山鄉大進村進利路８８號,宜蘭縣冬山鄉大進村,簡誌呈,42043537,股份有限公司,0580101,0690327,生產中,14木竹製品製造業,140木竹製品,,木材,,121.71312,24.64866
誼欣工業社,S0200015,,宜蘭縣冬山鄉群英村富英路57、59號,宜蘭縣冬山鄉群英村,陳紅葉,42053056,獨資,,1090611,生產中,25金屬製品製造業,254金屬加工處理,,,,,
宜蘭食品工業股份有限公司第一廠,99620213,06010000079906,宜蘭縣蘇澳鎮新城里新城路１３號,宜蘭縣蘇澳鎮新城里,李玉生,41695406,股份有限公司,0580101,0601227,生產中,08食品製造業,081肉類加工、082水產加工、083蔬果加工、089其他食品,,米果、休閒食品,,121.827095,24.6183376
大欣冷凍製冰廠,02000001,,宜蘭縣蘇澳鎮南建里內埤路１０號,宜蘭縣蘇澳鎮南建里,翁仲聯,26566375,獨資,,0991018,生產中,33其他製造業、33其他製造業,339未分類其他製品,,未分類其他製造業漁業用冰塊,,121.871,24.5788689
光南冷凍廠股份有限公司,99620179,05810000005616,宜蘭縣蘇澳鎮南興里華山路149號,宜蘭縣蘇澳鎮南興里,林洪福　,41609107,股份有限公司,0580101,0590801,生產中,08食品製造業,082水產加工,,冰塊．冷藏,,121.866272,24.5808144
五浚有限公司,99620086,06710000092399,宜蘭縣五結鄉成興村五濱路一段66號一樓,宜蘭縣五結鄉成興村,徐震豐　　　,45101600,有限公司,0580101,0680209,生產中,22塑膠製品製造業,220塑膠製品,,保利龍,,121.829636,24.6601963
東奕鍋爐有限公司,S0200014,,宜蘭縣員山鄉深溝村深洲路9巷8號一樓,宜蘭縣員山鄉深溝村,陳金汶,96891563,有限公司,,1090605,生產中,29機械設備製造業,292其他專用機械設備、293通用機械設備,,,,,
台塑生醫科技股份有限公司宜蘭廠,99620989,,宜蘭縣礁溪鄉龍潭村龍泉路3號,宜蘭縣礁溪鄉龍潭村,王懷恩,80539426,股份有限公司,,0940404,生產中,20藥品及醫用化學製品製造業,200藥品及醫用化學製品,,,,,
大耀塑膠有限公司,S0200011,,宜蘭縣礁溪鄉玉田村玉龍路二段172號,宜蘭縣礁溪鄉玉田村,黃貴裕,16917582,有限公司,,1090611,生產中,22塑膠製品製造業、25金屬製品製造業,220塑膠製品、251金屬刀具、手工具及模具,,,,,
依田股份有限公司宜蘭利澤廠,02000284,,宜蘭縣蘇澳鎮頂寮里頂平路6號、頂安路7號,宜蘭縣蘇澳鎮頂寮里,陳清樂,89440353,股份有限公司,,1061113,生產中,16印刷及資料儲存媒體複製業,160印刷及資料儲存媒體複製,,熱轉印標、裝飾性膠膜、膠條無縫、導電膠膜、膠條,,121.838051,24.63506
員山窯業股份有限公司,99620448,06510000205741,宜蘭縣員山鄉湖西村二湖路36號,宜蘭縣員山鄉湖西村,"林琦貞 　",40555878,股份有限公司,0580101,0660809,生產中,23非金屬礦物製品製造業,232耐火、黏土建材及其他陶瓷製品,,紅磚、紅磚粉,,121.6893,24.7470245
大道興業有限公司利澤廠,99620247,08510000410336,宜蘭縣五結鄉成興村五濱路一段88號,宜蘭縣五結鄉成興村,林靜如,89288110,有限公司,0851106,0870122,生產中,22塑膠製品製造業,220塑膠製品,,保麗龍箱,,121.829277,24.6617851
晉瑜企業股份有限公司利澤廠,02000218,,宜蘭縣蘇澳鎮頂寮里利工一路一段1號,宜蘭縣蘇澳鎮頂寮里,林騰輝,89939090,股份有限公司,,1050302,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品,,爐石粉,爐石,121.842018,24.6362514
錡富碾米工廠,99620877,06810000112814,宜蘭縣三星鄉大隱村三星路一段693號,宜蘭縣三星鄉大隱村,游振錡　　　,40579246,獨資,0580101,0680501,生產中,08食品製造業,086碾榖、磨粉及澱粉製品,,糙米、白米,,121.711632,24.6674881
宜蘭餅食品有限公司隘丁廠,99721026,,宜蘭縣蘇澳鎮隘丁里海山西路３６９號,宜蘭縣蘇澳鎮隘丁里,劉鐙徽,80059903,有限公司,,0980707,生產中,08食品製造業,089其他食品,https://www.i-cake.com.tw/,宜蘭餅,,121.828979,24.6145
兆峰實業股份有限公司,02000119,,宜蘭縣三星鄉貴林村紅柴林八王圍小段48-11、48-12、61-11、61-10、61-12、61-14、61-15、61-16、254-1、256-1地號,宜蘭縣三星鄉貴林村,林錫欽,86766897,股份有限公司,,1030206,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品,,其他非金屬礦物製品,,121.660027,24.6672211
晉好企業有限公司一廠,99620913,07610002054327,宜蘭縣蘇澳鎮新城里新城一路10巷52號,宜蘭縣蘇澳鎮新城里,鍾文惠　　,22674009,有限公司,0760803,0770204,生產中,22塑膠製品製造業、28電力設備及配備製造業,220塑膠製品、283電線及配線器材,,塑膠衣著、金屬加工、電腦洗床,,121.82444,24.6173611
笙特科技股份有限公司員山廠,02000377,,宜蘭縣員山鄉頭分村頭分路95號,宜蘭縣員山鄉頭分村,阮天助,24566527,股份有限公司,,1090324,生產中,33其他製造業,332醫療器材及用品,,,,,
莎貝莉娜股份有限公司,02000224,,宜蘭縣宜蘭市梅洲里梅洲一路16之3號,宜蘭縣宜蘭市梅洲里,游源在,54345136,股份有限公司,,1050418,生產中,33其他製造業,331育樂用品,,文具用品,,121.737183,24.7771053
宜陽瀝青股份有限公司宜蘭廠,99620171,08010000071677,宜蘭縣宜蘭市梅洲里梅洲二路99號,宜蘭縣宜蘭市梅洲里,林旺松　　　,40663433,股份有限公司,0800411,0820203,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品,,清青混凝土,砂石水泥瀝青,121.732506,24.7809658
聯峰工礦股份有限公司蘇澳工廠,99620754,06210000152382,宜蘭縣蘇澳鎮永春里永春路九三號,宜蘭縣蘇澳鎮永春里,陳錫湖　　　,41910329,股份有限公司,0580101,0640623,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品,,石粉、碎石,,121.848671,24.5876522
綠洲化學工業有限公司,02000198,,宜蘭縣蘇澳鎮龍德里德興八路11號,宜蘭縣蘇澳鎮龍德里,劉志猷,04685530,有限公司,,1041228,生產中,20藥品及醫用化學製品製造業,200藥品及醫用化學製品,,外用液、眼藥水、眼用軟膏、軟膏,,121.828751,24.6366539
聯偉紙業有限公司龍德廠,99721043,,宜蘭縣冬山鄉大興村德興六路３６號,宜蘭縣冬山鄉大興村,賴國珍,16560957,有限公司,,0981228,生產中,15紙漿、紙及紙製品製造業,159其他紙製品,,衛生紙、擦手紙、家庭用紙裁切,,121.8187,24.6303539
永桓實業股份有限公司,02000148,,宜蘭縣冬山鄉鹿埔村鹿埔路535巷51號,宜蘭縣冬山鄉鹿埔村,張建明,07731781,股份有限公司,,1031112,生產中,29機械設備製造業,293通用機械設備,,通用機械設備,,121.748795,24.6577
台灣塑膠工業股份有限公司冬山廠,99620361,05810000002522,宜蘭縣冬山鄉東城村東福路201號,宜蘭縣冬山鄉東城村,李維堅,75708007,股份有限公司,0580101,0580101,生產中,,,,生石灰、台鈣劑、碳酸鈣、輕膠鈣,,121.808746,24.6206551
高德實業有限公司食品廠,02000074,,宜蘭縣五結鄉成興村利工三路59號三樓,宜蘭縣五結鄉成興村,李明貞,84358431,有限公司,,1011008,生產中,08食品製造業,089其他食品,,糖果（委外加工）,,121.83802,24.6540241
中亞環保工程股份有限公司,02000146,,宜蘭縣五結鄉成興村利興三路10、10-1號,宜蘭縣五結鄉成興村,余意成,89476345,股份有限公司,,1031029,生產中,29機械設備製造業,293通用機械設備,,通用機械設備、焚化爐組裝（半成品）維修,不銹鋼材料、控制箱等,121.830757,24.6622086
圓心圓國際事業股份有限公司,02000113,,宜蘭縣羅東鎮羅莊里羅莊街398號,宜蘭縣羅東鎮羅莊里,魏淑鳳,53968970,股份有限公司,,1021217,生產中,08食品製造業,089其他食品,http://www.weiheart.com/,其他雜項農產加工食品,,121.778229,24.6724758
信暘有限公司,99620978,,宜蘭縣五結鄉成興村五濱路二段六八號,宜蘭縣五結鄉成興村,鄭濤,80728572,有限公司,,0931101,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品,,其他非金屬礦物製品,,121.828377,24.6715355
天祥順實業社,S0200003,,宜蘭縣五結鄉中興村仁五路三段122號,宜蘭縣五結鄉中興村,方學舜,29288214,獨資,,1090512,生產中,15紙漿、紙及紙製品製造業,159其他紙製品,,,,,
千旺海產有限公司礁溪廠,02000333,,宜蘭縣礁溪鄉玉光村瑪僯路26-3號一樓,宜蘭縣礁溪鄉玉光村,石榮宗,27838023,有限公司,,1071217,生產中,08食品製造業,082水產加工,,水產處理及其製品,,121.767647,24.7902
燿華電子股份有限公司宜蘭分公司,02000108,,宜蘭縣五結鄉成興村利工一路二段16號,宜蘭縣五結鄉成興村,黃信鈞,53663098,股份有限公司,,1021001,生產中,26電子零組件製造業,264光電材料及元件,,ＳＯＬＡＲＣＥＬＬ,,121.8385,24.64614
協東機械工程有限公司,99620433,08010002090578,宜蘭縣五結鄉福興村五結路三段五０一號,宜蘭縣五結鄉福興村,宋榮源　　　,22693239,有限公司,0801007,0801106,生產中,29機械設備製造業,292其他專用機械設備,,攪拌機、振篩機、轉飼機、滾筒、螺運機,,121.781746,24.6825085
薛長興工業股份有限公司,99620185,06210000055443,宜蘭縣五結鄉鎮安村西河一路128巷29號,宜蘭縣五結鄉鎮安村,莊崎州,41910405,股份有限公司,0580101,0630423,生產中,21橡膠製品製造業、22塑膠製品製造業,210橡膠製品、220塑膠製品,http://www.sheico.com.tw,布片、色布、潛水衣等,,121.764175,24.70484
泉海實業股份有限公司,99620998,,宜蘭縣員山鄉中華村員山路三段４１０號,宜蘭縣員山鄉中華村,吳培榮,97052411,有限公司,,0941027,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品,,石材製品,,121.640953,24.6990738
建昆實業有限公司,99620029,,宜蘭縣冬山鄉大興村德興三路２０號,宜蘭縣冬山鄉大興村,張銘哲,12638758,有限公司,,0900601,生產中,25金屬製品製造業,254金屬加工處理,,噴漆工程、鋼構製作、鋼構加工,石英砂、調合漆、鋼珠,121.819725,24.6270962
貿東有限公司,02000252,,宜蘭縣蘇澳鎮新城里新城路5號2樓,宜蘭縣蘇澳鎮新城里,陳黃天順,22169889,有限公司,,1051202,生產中,25金屬製品製造業、28電力設備及配備製造業、29機械設備製造業、33其他製造業,259其他金屬製品、284照明設備及配備、289其他電力設備及配備、292其他專用機械設備、339未分類其他製品,,安全防護器材,,121.827034,24.61792
鋁記企業有限公司,99620306,08610002100973,宜蘭縣五結鄉福興村新五路32號,宜蘭縣五結鄉福興村,蔡政緯,89546320,有限公司,0860912,0880529,生產中,25金屬製品製造業,252金屬結構及建築組件,http://www.leuchi.com.tw,鋁百葉窗,鋁擠型,121.784996,24.6805286
良印實業股份有限公司大埔廠,99620747,06710000201194,宜蘭縣三星鄉大隱村大隱七路339號,宜蘭縣三星鄉大隱村,陳威達,42033897,股份有限公司,0580101,0681115,生產中,08食品製造業,089其他食品,,蜜餞,,121.71154,24.6622543
