工廠名稱,工廠登記編號,工廠設立許可案號,工廠地址,工廠市鎮鄉村里,工廠負責人姓名,統一編號,工廠組織型態,工廠設立核准日期,工廠登記核准日期,工廠登記狀態,產業類別,主要產品,WebURL,ProductName,Material,Longitude,Latitude
世宏石材股份有限公司,99666555,,花蓮縣花蓮市民心里美工路８號,花蓮縣花蓮市民心里,呂泰華,22398150,股份有限公司,,0770627,生產中,23非金屬礦物製品製造業,234石材製品,,花崗石板、大理石毛板,花崗石、大理石,121.633163,24.0159168
台灣海洋深層水股份有限公司,99704616,,花蓮縣花蓮市民孝里華東１５號,花蓮縣花蓮市民孝里,宋泉旭,28223066,股份有限公司,,0960628,生產中,09飲料製造業、09飲料製造業、08食品製造業,092非酒精飲料、089其他食品,,包裝飲用水，、，保健，保養品,,121.642021,24.0074272
花蓮縣瑞穗鄉農會供銷部,15000080,,花蓮縣瑞穗鄉富源村廣東路22號,花蓮縣瑞穗鄉富源村,羅文騰,95637608,農會組織,,1050120,生產中,08食品製造業、08食品製造業,086碾榖、磨粉及澱粉製品,,碾榖,,121.373314,23.5785141
驕陽企業股份有限公司,99666964,,花蓮縣吉安鄉勝安村民治路３５７號,花蓮縣吉安鄉勝安村,林宏仁,94749824,股份有限公司,,0680621,生產中,23非金屬礦物製品製造業,234石材製品,,花崗石地壁材,,121.58606,23.9823322
建利企業股份有限公司光華廠,99704619,,花蓮縣吉安鄉光華村華工四路６號,花蓮縣吉安鄉光華村,黃建堯,94637829,股份有限公司,,0960720,生產中,23非金屬礦物製品製造業,234石材製品,http://www.hsinfu.com.tw,花崗石大板,,121.591621,23.93059
日豐窯業股份有限公司,99666858,,花蓮縣光復鄉東富村中正路二段１５３號,花蓮縣光復鄉東富村,羅金蓮,94669602,股份有限公司,,0651118,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品,,紅磚,,121.4536,23.6539669
建利企業股份有限公司光華二廠,99704623,,花蓮縣吉安鄉光華村華工四路４號,花蓮縣吉安鄉光華村,黃建堯,94637829,股份有限公司,,0961128,生產中,23非金屬礦物製品製造業,234石材製品,http://www.hsinfu.com.tw,花崗石大板,,121.5915,23.9298077
陸輝瀝青股份有限公司吉安瀝青混凝土拌合場,99666905,,花蓮縣吉安鄉仁安村海濱１之１號,花蓮縣吉安鄉仁安村,楊惠芳,22299617,股份有限公司,,0910807,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品,,瀝青混凝土拌合料,,121.603569,23.953743
東宏水泥製品股份有限公司,99666821,,花蓮縣吉安鄉仁和村南海八街２１４號,花蓮縣吉安鄉仁和村,郭肇宏,94654761,股份有限公司,,0640721,生產中,23非金屬礦物製品製造業,233水泥及其製品,,水泥及水泥製品,,121.584236,23.947134
廣典企業股份有限公司,99666835,,花蓮縣新城鄉康樂村大漢街２５７號,花蓮縣新城鄉康樂村,劉錫合,94748212,股份有限公司,,0671129,生產中,23非金屬礦物製品製造業,234石材製品,http://koundian.com.tw,花崗石材，大理石材,花崗原石，大理原石,121.607361,24.0481033
泰清鐵材有限公司光華廠,99704638,,花蓮縣吉安鄉光華村華工五路２６號,花蓮縣吉安鄉光華村,楊順清,97021678,有限公司,,0980520,生產中,25金屬製品製造業、24基本金屬製造業,252金屬結構及建築組件、241鋼鐵,http://www.tirchn.com.tw/,Ｃ型鋼板、浪板,,121.591751,23.9332542
永通污水處理工程股份有限公司(花蓮廠),15000063,,花蓮縣鳳林鎮林榮里水車路68號,花蓮縣鳳林鎮林榮里,張育銘,97420035,股份有限公司,,1040512,生產中,29機械設備製造業、29機械設備製造業、23非金屬礦物製品製造業,292其他專用機械設備、233水泥及其製品,,,,,
臺灣菸酒股份有限公司花蓮酒廠,99666573,,花蓮縣花蓮市民心里美工路６號,花蓮縣花蓮市民心里,莊肇華,03787101,股份有限公司,,0770415,生產中,09飲料製造業、09飲料製造業,091酒精飲料,https://event.ttl.com.tw/hl/,米酒、米酒水、玉山金黃金高粱、黃金威士忌、紹興酒、手工啤酒、小米酒、餅乾,,121.636841,24.0176258
圓薇石材行,15000084,,花蓮縣吉安鄉光華村海岸路963號,花蓮縣吉安鄉光華村,楊玉菁,30207648,合夥,,1050329,生產中,23非金屬礦物製品製造業,234石材製品,,石板,,121.590759,23.9281139
友誠有限公司,15000034,,花蓮縣秀林鄉和平村和平30之11號,花蓮縣秀林鄉和平村,方來興,84805591,有限公司,,1021231,生產中,23非金屬礦物製品製造業、23非金屬礦物製品製造業,239其他非金屬礦物製品,,預拌混凝土,,121.744873,24.3163166
東紘石業股份有限公司,99666636,08810099825293,花蓮縣吉安鄉光華村華工四路１２號,花蓮縣吉安鄉光華村,陳俊樺,84923936,股份有限公司,0881007,0900628,生產中,23非金屬礦物製品製造業,234石材製品,,大理石大板、花崗石大板,,121.592361,23.931612
海沃事業有限公司,15000031,,花蓮縣鳳林鎮大榮里大忠路21號,花蓮縣鳳林鎮大榮里,蘇鈞冊,25196620,有限公司,,1020624,生產中,09飲料製造業,092非酒精飲料,,包裝飲用水,,121.468971,23.7526474
映盛國際有限公司,15000123,,花蓮縣花蓮市民心里3鄰美工六街18之7號,花蓮縣花蓮市民心里,吳瑞華,54291309,有限公司,,1080619,生產中,23非金屬礦物製品製造業、23非金屬礦物製品製造業,234石材製品,,石材製品,,121.6279,24.0133438
亞洲水泥股份有限公司花蓮製造廠,99666750,,花蓮縣新城鄉新城村新興路125號,花蓮縣新城鄉新城村,張志鵬,03244509,股份有限公司,,0650519,生產中,23非金屬礦物製品製造業,233水泥及其製品,,卜特蘭一型、二型、一型低鹼水泥、熟料,,121.6511,24.1334934
煌奇石業股份有限公司,99666673,,花蓮縣新城鄉北埔村民權街１０９號,花蓮縣新城鄉北埔村,廖財國,94627104,股份有限公司,,0640325,生產中,23非金屬礦物製品製造業,234石材製品,,大理石材,原石、磨石、ＡＢ膠、纖維網等,121.609329,24.0343323
東寰科技工程有限公司,99704628,,花蓮縣鳳林鎮鳳仁里仁德路２１號,花蓮縣鳳林鎮鳳仁里,溫錦洲,12622340,有限公司,,0970603,生產中,14木竹製品製造業、29機械設備製造業、19其他化學製品製造業,140木竹製品、293通用機械設備、199未分類其他化學製品,,竹炭、濾芯、肉桂萃取液、竹子液、植物精油萃取液,,121.450409,23.7520847
政旺企業股份有限公司,99666794,,花蓮縣光復鄉大平村佛祖街三三六巷八號,花蓮縣光復鄉大平村,黃瑞園,94787354,股份有限公司,,0710921,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品、233水泥及其製品,,砂石,,121.442421,23.67607
欣富隆企業有限公司,15000049,,花蓮縣吉安鄉光華村海岸路965號,花蓮縣吉安鄉光華村,林慶賢,24227463,有限公司,,1031223,生產中,23非金屬礦物製品製造業,234石材製品,,石材製品（花崗石石板）,,121.591217,23.9279346
統一超食代股份有限公司花蓮廠,15000093,,花蓮縣吉安鄉仁和村南海八街206之1號,花蓮縣吉安鄉仁和村,陳瑞堂,16791845,股份有限公司,,1070905,生產中,08食品製造業、08食品製造業,089其他食品,,飯糰、手卷、燴飯、涼麵、漢堡、三明治、便當,,121.587387,23.9465561
建華開發有限公司,99666946,08810099062445,花蓮縣花蓮市民心里美工六街３６號,花蓮縣花蓮市民心里,劉瓊如,16735529,有限公司,0880406,0880630,生產中,08食品製造業、08食品製造業、09飲料製造業,089其他食品、091酒精飲料、092非酒精飲料,,麵包、蛋糕、西點、糖果,,121.622604,24.0098381
