工廠名稱,工廠登記編號,工廠設立許可案號,工廠地址,工廠市鎮鄉村里,工廠負責人姓名,統一編號,工廠組織型態,工廠設立核准日期,工廠登記核准日期,工廠登記狀態,產業類別,主要產品,WebURL,ProductName,Material,Longitude,Latitude
中農粉絲有限公司,08000377,,南投縣南投市福興里彰南路3段999號,南投縣南投市福興里,廖瓊玉,80223101,有限公司,,1090921,生產中,08食品製造業,089其他食品,,,,,
台灣三資科技股份有限公司南投廠,99725310,,南投縣南投市永豐里工業南七路8號,南投縣南投市永豐里,蕭柏文,28009312,股份有限公司,,0990511,生產中,17石油及煤製品製造業、18化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,170石油及煤製品、181化學原材料,http://www.twn3r.com,工業用油,,120.654243,23.9151287
詠家工業有限公司,08000355,,南投縣草屯鎮上林里太平路一段223巷11號1樓,南投縣草屯鎮上林里,劉正結,85105151,有限公司,,1090107,生產中,25金屬製品製造業,251金屬刀具、手工具及模具、259其他金屬製品,,,,,
昶茂資源有限公司,08000321,,南投縣竹山鎮延平里延平三路11號,南投縣竹山鎮延平里,潘彥呈,83493233,有限公司,,1080423,生產中,14木竹製品製造業,140木竹製品,,,,,
精毅興業有限公司,99062349,06810000223528,南投縣草屯鎮新豐里稻香路七八號,南投縣草屯鎮,洪世民,22484697,有限公司,0580101,,生產中,33其他製造業,339未分類其他製品,,,,,
加吉利實業股份有限公司,99652741,08710008000054,南投縣草屯鎮上林里草溪路213之21號,南投縣草屯鎮上林里,許凱慧,28557886,有限公司,0870203,0880401,生產中,09飲料製造業,092非酒精飲料,,包裝飲用水,,120.679092,23.9667454
裕田砂石有限公司,08000173,,南投縣埔里鎮北梅里西安路一段555巷15號,南投縣埔里鎮北梅里,潘禎斌,25089776,有限公司,,1050125,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品、233水泥及其製品,,砂石,,120.962219,23.9894238
嘉豐木材行,99652498,05810000010262,南投縣草屯鎮新豐里中正路一一三一號,南投縣草屯鎮新豐里,張蔡月盞,61758511,獨資,0580101,0580101,生產中,14木竹製品製造業,140木竹製品,,木材製品,,120.687675,23.990551
享竑工業股份有限公司,08000257,,南投縣草屯鎮中原里坪腳巷18之2號2樓,南投縣草屯鎮中原里,柯耿華,59029355,股份有限公司,,1070223,生產中,30汽車及其零件製造業,303汽車零件,,汽車零件,,120.721169,23.98553
健煬塑膠企業股份有限公司,08000234,,南投縣南投市平山里仁和路24號,南投縣南投市平山里,楊林如從,80209282,股份有限公司,,1060615,生產中,22塑膠製品製造業、30汽車及其零件製造業,220塑膠製品、303汽車零件,,塑製品,,120.668915,23.922718
冠好科技股份有限公司,99652275,08110000085309,南投縣南投市新興里工業路二三、二七、二九號,南投縣南投市新興里,楊文章,86779099,股份有限公司,0810923,0811203,生產中,15紙漿、紙及紙製品製造業,151紙漿、紙、紙板,http://www.koanhao.com/_tw/,自黏商標材料、膠帶、離型紙,,120.662949,23.9233742
立野實業股份有限公司,08000254,,南投縣南投市千秋里千秋路217巷61號1樓,南投縣南投市千秋里,蘇阿川,61922891,股份有限公司,,1070118,生產中,22塑膠製品製造業、33其他製造業,220塑膠製品、332醫療器材及用品,,工具袋．塑膠袋．午睡枕．冷熱敷墊,,120.706886,23.89114
臺灣菸酒股份有限公司埔里酒廠,99652442,05810000005063,南投縣埔里鎮大城里中山路三段219號,南投縣埔里鎮大城里,丁丞康,62300301,股份有限公司,0580101,0580101,生產中,09飲料製造業、08食品製造業,091酒精飲料、089其他食品,https://event.ttl.com.tw/pl/,紹興酒、愛蘭白酒,,120.960541,23.9674988
玖祐有限公司,08000134,,南投縣竹山鎮延正里公正巷14號,南投縣竹山鎮延正里,鄭彬憲,80393386,有限公司,,1030814,生產中,22塑膠製品製造業,220塑膠製品,,塑膠製品,,120.694611,23.7790279
日香食品廠,08000032,,南投縣竹山鎮延祥里集山路3段207巷46號,南投縣竹山鎮延祥里,吳世充,61853640,合夥,,1000901,生產中,08食品製造業,089其他食品,,冬筍餅、胡椒餅,,120.702065,23.7630348
泰谷光電科技股份有限公司五廠,08000043,,南投縣南投市平山里自強三路14號,南投縣南投市平山里,葉寅夫,70774610,股份有限公司,,1010117,生產中,26電子零組件製造業,269其他電子零組件,,高亮度藍光、綠光、紅光發光二極體,,120.667976,23.9234848
宏政企業有限公司,99652314,06510000007753,南投縣竹山鎮延平里延平路二０號,南投縣竹山鎮延平里,張政民,61872153,有限公司,0580101,0580101,生產中,14木竹製品製造業,140木竹製品,,木皮粉香竹料,,120.701836,23.76851
宏圜科技股份有限公司一廠,08000319,,南投縣南投市工業北一路7號,南投縣南投市,高基楨,28754438,股份有限公司,,1080419,生產中,21橡膠製品製造業、22塑膠製品製造業,210橡膠製品、220塑膠製品,,橡膠製品，塑膠製品,,120.659035,23.9257641
香里食品企業股份有限公司南投廠,99652760,,南投縣南投市平山里仁和路3號,南投縣南投市平山里,洪芳美,15979217,股份有限公司,,0920121,生產中,08食品製造業,081肉類加工、084動植物油脂、089其他食品,,,,,
駿騰彩藝股份有限公司,08000291,,南投縣南投市平山里自強二路3之1號,南投縣南投市平山里,李俊睿,42982004,股份有限公司,,1071107,生產中,22塑膠製品製造業、22塑膠製品製造業,220塑膠製品,,食品軟性外包裝袋，包裝卷,,120.668755,23.9238033
義成工廠股份有限公司,99652284,06710000225559,南投縣南投市福興里南崗三路一０三號,南投縣南投市福興里,林健國,58541102,股份有限公司,0580101,0580101,生產中,25金屬製品製造業,251金屬刀具、手工具及模具、254金屬加工處理,http://www.lancertools.com.tw,螺絲起子、五金手工具,塑膠粒、鋼材、ＢＩＴ（起子頭）套筒,120.663445,23.9422112
韋祥企業有限公司,99652381,06610000045872,南投縣南投市平山里南崗三路六號,南投縣南投市平山里,林永原,04454159,有限公司,0580101,0580101,生產中,08食品製造業,081肉類加工,,豬肉脯肉鬆牛肉乾豬肉干、腊肉、香腸、冷凍調理食品,,120.672737,23.922884
育承興業有限公司,99652976,,南投縣南投市永豐里中華路三二○號,南投縣南投市永豐里,陳郁璇,97492396,有限公司,,0931220,生產中,15紙漿、紙及紙製品製造業,159其他紙製品,,其他紙製品（離型紙）,,120.666954,23.9354649
源昌製冰冷凍工廠,99652868,05810000005178,南投縣埔里鎮西門里中正一路２１號,南投縣埔里鎮西門里,卓正源,62200400,其他,0580101,0580101,生產中,08食品製造業,089其他食品,,冰塊,,120.963776,23.9685383
豐造工業股份有限公司,08000148,,南投縣草屯鎮新豐里新豐路96巷106號,南投縣草屯鎮新豐里,谷忠齡,25054782,股份有限公司,,1040505,生產中,25金屬製品製造業、30汽車及其零件製造業、31其他運輸工具及其零件製造業,251金屬刀具、手工具及模具、303汽車零件、312機車及其零件,,手工具製造業、汽車及其零件製造業、機車及其零件製造業、模具製造業、金屬鍛造業、五金批發業、模具批發業、汽、機車零件配備批發業、五金零售業、模具零售業、汽、機車零件配備零售業、國際貿易業,,120.681465,23.99253
邁鑫機械工業股份有限公司二廠,08000184,,南投縣南投市永豐里自立三路17號,南投縣南投市永豐里,謝夙彥,22390474,股份有限公司,,1050401,生產中,29機械設備製造業,291金屬加工用機械設備、292其他專用機械設備、293通用機械設備,http://www.manford.com.tw,中心加工機、車床加工機、龍門加工機,,120.661964,23.9329853
裕國冷凍冷藏股份有限公司南投廠,99652357,08310000153699,南投縣南投市永豐里工業北路二號,南投縣南投市永豐里,楊育偉,87834583,股份有限公司,0830429,0831013,生產中,08食品製造業,081肉類加工、082水產加工、083蔬果加工、084動植物油脂、089其他食品,http://www.cooleagle.com.tw,冷凍食品，肉類及其調理，肉類罐頭食品,,120.659821,23.93125
聖傑機器工業股份有限公司南崗廠,08000301,,南投縣南投市新興里自強三路36號B棟2樓,南投縣南投市新興里,黃秋江,23276140,股份有限公司,,1071218,生產中,25金屬製品製造業、28電力設備及配備製造業、29機械設備製造業,259其他金屬製品、289其他電力設備及配備、292其他專用機械設備,,機械設備製造修配業,,120.665344,23.9274635
世瀅工業股份有限公司,08000150,,南投縣草屯鎮新豐里新豐路96巷106號,南投縣草屯鎮新豐里,陳室宇,97576016,股份有限公司,,1040505,生產中,25金屬製品製造業、30汽車及其零件製造業、31其他運輸工具及其零件製造業,251金屬刀具、手工具及模具、303汽車零件、312機車及其零件,,（１）板手等五金工具之製造及鍛造加工買賣。（２）汽機車零件、機械零件之製造及鍛造加工買賣。（３）模具之製造買賣。（４）前各項有關產品之進出口貿易業務,,120.681465,23.99253
朝鑫科技股份有限公司南投廠,08000008,,南投縣南投市永豐里工業路33號,南投縣南投市永豐里,張孝吾,24405163,股份有限公司,,1000124,生產中,33其他製造業,339未分類其他製品,,人造瑩石,,120.661514,23.9252319
益展不銹鋼廚具有限公司,99652745,08310008001705,南投縣埔里鎮枇杷里21鄰中正路148號1樓,南投縣埔里鎮枇杷里,黃俊程,89882955,有限公司,0831130,0840214,生產中,32家具製造業,322金屬家具,,不銹鋼廚具,,120.9796,23.950367
門斗豐科技木業有限公司,08000211,,南投縣竹山鎮延平里延平路27號,南投縣竹山鎮延平里,陳俞樺,55885237,有限公司,,1051123,生產中,14木竹製品製造業,140木竹製品,,門斗,木材,120.701065,23.7692852
台昇汽車工業股份有限公司,99652326,07110000062303,南投縣竹山鎮延平里延平一路１６號,南投縣竹山鎮延平里,蔡佩玲,61876313,股份有限公司,0580101,0580101,生產中,31其他運輸工具及其零件製造業,301汽車、302車體、303汽車零件,,消音管,,120.703651,23.76889
台灣陶氏化學股份有限公司南崗廠,99652360,07710000187503,南投縣南投市新興里工業南一路九號,南投縣南投市新興里,陳文洲,21242638,股份有限公司,0770516,0781215,生產中,18化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,181化學原材料,,,,,
朝新金屬工業股份有限公司,99652146,07810000177534,南投縣南投市新興里仁和路一三四號,南投縣南投市新興里,陳朝雄,23225086,股份有限公司,0780506,0790205,生產中,24基本金屬製造業、25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備,,生產合金鋼帶、精密特殊鋼帶、五金零件買賣、鋼帶加工,,120.663589,23.9210548
憶連益金屬有限公司,99705171,,南投縣草屯鎮上林里太平路1段123巷212號,南投縣草屯鎮上林里,簡煥燿,97421962,有限公司,,0950322,生產中,25金屬製品製造業,259其他金屬製品、293通用機械設備,,ＳＴ板、ＳＴ管、鐵板,,120.676086,23.9604473
富有水泥製品有限公司,08000151,,南投縣南投市永豐里工業南五路4號,南投縣南投市永豐里,陳清煌,24869260,有限公司,,1040507,生產中,23非金屬礦物製品製造業,233水泥及其製品,,水泥,,120.658035,23.9180527
伸發機械工業有限公司,99652270,07010000158873,南投縣草屯鎮碧峰里保福街2巷13號,南投縣草屯鎮碧峰里,姚美淑,61930962,有限公司,0580101,0580101,生產中,29機械設備製造業,291金屬加工用機械設備、293通用機械設備、292其他專用機械設備,,,,,
飾鴻實業有限公司,99705179,,南投縣草屯鎮新庄里史館路446號,南投縣草屯鎮新庄里,張仁吉,86339608,有限公司,,0950516,生產中,11紡織業、33其他製造業,331育樂用品、115紡織品,,緞帶,,120.6671,23.9902821
昱豐工業股份有限公司,99652952,,南投縣南投市永豐里成功三路一九二之一號,南投縣南投市永豐里,張舜融,27287956,股份有限公司,,0930621,生產中,30汽車及其零件製造業、25金屬製品製造業,301汽車、302車體、303汽車零件、312機車及其零件、319未分類其他運輸工具及其零件、259其他金屬製品,,汽車及其零件、機車及其零件、其他運輸工具及其零件、其他金屬製,,120.659012,23.91701
永裕石業股份有限公司,08000297,,南投縣鹿谷鄉瑞田村瑞田巷21之451號,南投縣鹿谷鄉瑞田村,湯月英,29083388,股份有限公司,,1071212,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品,,,,,
瑞升國際股份有限公司,99720042,,南投縣南投市永豐里南崗三路244號,南投縣南投市永豐里,蔡菁紋,28089384,股份有限公司,,0970930,生產中,08食品製造業,089其他食品,,醃漬蔬菜製造,,120.667862,23.9315834
甘瓏實業有限公司,99652173,06810000109472,南投縣南投市平山里自強二路12號,南投縣南投市平山里,陳聯輝,61911000,有限公司,0680305,0910107,生產中,08食品製造業,083蔬果加工,,醃漬物,,120.669678,23.9247074
台灣真情實業有限公司,08000252,,南投縣草屯鎮新豐里新豐路96巷100號5樓,南投縣草屯鎮新豐里,楊智雄,80400746,有限公司,,1070108,生產中,08食品製造業,089其他食品,,未分類其他食品,,120.681526,23.99209
康斯生技有限公司,08000153,,南投縣竹山鎮延和里鹿山路56巷63弄2號,南投縣竹山鎮延和里,劉騰駿,24880899,有限公司,,1040518,生產中,19其他化學製品製造業、19其他化學製品製造業,193清潔用品、194化粧品,http://www.cosbio.com.tw,基礎保養品、清潔用品、乳液、乳霜、面膜、凝膠等,,120.697212,23.7590866
