工廠名稱,工廠登記編號,工廠設立許可案號,工廠地址,工廠市鎮鄉村里,工廠負責人姓名,統一編號,工廠組織型態,工廠設立核准日期,工廠登記核准日期,工廠登記狀態,產業類別,主要產品,WebURL,ProductName,Material,Longitude,Latitude
金鴻源水電五金建材行,96300032,,金門縣金湖鎮山外里山外街3號,金門縣金湖鎮山外里,莊乃箇,77300103,獨資,,0920128,生產中,14木竹製品製造業、21橡膠製品製造業、22塑膠製品製造業,140木竹製品、210橡膠製品、220塑膠製品,,木製家俱及裝設品,,118.414368,24.4429188
聖豐食品工廠,80000022,,金門縣金湖鎮新市里國順街25號,金門縣金湖鎮新市里,楊洳雲,72904738,獨資,,1081203,生產中,08食品製造業,089其他食品,,其他食品,,118.416588,24.43911
堡鋒實業有限公司,96300097,,金門縣金湖鎮蓮庵里三谿橋6-1號,金門縣金湖鎮蓮庵里,李國泰,28414179,有限公司,,0990309,生產中,23非金屬礦物製品製造業、23非金屬礦物製品製造業,239其他非金屬礦物製品,,瀝青混凝土,,118.434074,24.4332962
儒達國際股份有限公司,96300093,,金門縣金湖鎮蓮庵里三谿橋5-2號,金門縣金湖鎮蓮庵里,許志猛,28419630,股份有限公司,,0961108,生產中,23非金屬礦物製品製造業,234石材製品,,其他石製品,,118.433029,24.4282856
金興鐵工廠,96300027,,金門縣金沙鎮汶沙里蔡店５號,金門縣金沙鎮汶沙里,王家豪,77323529,獨資,,0911202,生產中,25金屬製品製造業,252金屬結構及建築組件、259其他金屬製品,,金屬建築組構及組件,,118.420784,24.486475
金門浯江酒廠實業股份有限公司,96300092,,金門縣金湖鎮料羅里料羅151號,金門縣金湖鎮料羅里,陳曉怡,97308639,股份有限公司,,0961108,生產中,09飲料製造業,091酒精飲料,,白酒,,118.432816,24.4261818
萬成食品廠,96300002,07709020005795,金門縣金寧鄉榜林村伯玉路一段211號,金門縣金寧鄉榜林村,林志國　　　,77261559,獨資,0770609,0901004,生產中,08食品製造業,089其他食品,,調味品、其他食品,,118.350624,24.43533
建新塑膠廠,96300010,06809020001698,金門縣金沙鎮汶沙里后浦頭二之一號,金門縣金沙鎮汶沙里,黃芳流　　　,77320044,獨資,0680226,0770113,生產中,22塑膠製品製造業,220塑膠製品,,塑膠袋,,118.41481,24.486948
儒達國際股份有限公司二廠,80000020,,金門縣金湖鎮蓮庵里太湖路三段301、301-1、303號,金門縣金湖鎮蓮庵里,許志猛,28419630,股份有限公司,,1070523,生產中,23非金屬礦物製品製造業、23非金屬礦物製品製造業,234石材製品,,其他石製品,,118.435226,24.43357
金三榮工程股份有限公司太湖廠,96300001,08709020017957,金門縣金湖鎮蓮庵里三谿橋十二號,金門縣金湖鎮蓮庵里,林逸群,96978462,股份有限公司,0871202,0871212,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品、233水泥及其製品,,瀝青混凝土、預坢混凝土,,118.435631,24.431921
金門縣陶瓷廠,96300045,06209020016333,金門縣金湖鎮新湖里漁村14號,金門縣金湖鎮新湖里,楊肅泰　,77295024,其他,0621123,0761104,生產中,23非金屬礦物製品製造業,232耐火、黏土建材及其他陶瓷製品,,各類瓷器,,118.4067,24.435606
金門遠東酒廠股份有限公司,96300085,,金門縣金城鎮北門里伯玉路一段八十巷十八弄二十六號,金門縣金城鎮北門里,林鈺城,80053653,股份有限公司,,0931115,生產中,09飲料製造業,091酒精飲料,,威士忌、白酒、再製酒、料理酒類、飲料,,118.322609,24.43316
永順國際紙業股份有限公司,96300094,,金門縣金湖鎮新市里國順街7號,金門縣金湖鎮新市里,李仁群,28425767,股份有限公司,,0961205,生產中,15紙漿、紙及紙製品製造業、16印刷及資料儲存媒體複製業,152瓦楞紙板及紙容器、159其他紙製品、160印刷及資料儲存媒體複製,,,,,
老農莊食品有限公司,96300096,,金門縣金湖鎮新市里國順街20號,金門縣金湖鎮新市里,董水輪,28979751,有限公司,,0990121,生產中,08食品製造業,081肉類加工,,牛肉乾、豬肉乾,,118.416374,24.439003
金門華龍酒廠股份有限公司,80000018,,金門縣金湖鎮蓮庵里三谿橋5之1號,金門縣金湖鎮蓮庵里,廖宥冠,53013588,股份有限公司,,1010518,生產中,09飲料製造業、09飲料製造業,091酒精飲料,,高粱酒,,118.433235,24.4282913
大慶鋁門窗玻璃加工廠,96300030,,金門縣金寧鄉后盤村環島北路二段600之3號,金門縣金寧鄉后盤村,黃慶湖,77269840,獨資,,0911202,生產中,25金屬製品製造業,252金屬結構及建築組件、254金屬加工處理、259其他金屬製品,,鋁門窗,,118.348824,24.4519577
名記食品企業有限公司,96300068,,金門縣金寧鄉榜林村伯玉路一段228號,金門縣金寧鄉榜林村,陳子豪,89402816,有限公司,,0920925,生產中,08食品製造業,089其他食品,http://minjih.com/index.php?lang=tw,貢糖、花生製品,,118.327835,24.43658
金門皇家酒廠股份有限公司,80000001,,金門縣金湖鎮蓮庵里三谿橋15、17、19號,金門縣金湖鎮蓮庵里,黃正一,80137014,股份有限公司,,0991229,生產中,09飲料製造業、09飲料製造業,091酒精飲料,http://www.kinmenroyal.com.tw/,白酒,,118.433769,24.427021
金美,96300057,,金門縣金湖鎮新市里林森路１７號,金門縣金湖鎮新市里,楊麗媛,77295707,獨資,,0920707,生產中,08食品製造業,089其他食品,,貢糖,,118.416771,24.4413338
敬富企業社,80000021,,金門縣金湖鎮蓮庵里工二路18號,金門縣金湖鎮蓮庵里,張莉,20105306,獨資,,1070315,生產中,23非金屬礦物製品製造業、23非金屬礦物製品製造業,239其他非金屬礦物製品,,瀝青混凝土、預拌混凝土,砂、碎石、瀝青、水泥,118.4342,24.42923
將臺實業有限公司預拌混凝土廠,96300004,08409020026251,金門縣金湖鎮蓮庵里三谿橋二之一號,金門縣金湖鎮蓮庵里,陳財明　,70788136,股份有限公司,0841106,0850625,生產中,23非金屬礦物製品製造業,233水泥及其製品,,水泥及水泥製品,,118.432281,24.4355354
聖祖股份有限公司,96300051,,金門縣金湖鎮新湖里信義新村84、85號,金門縣金湖鎮新湖里,陳緣姿,16846927,股份有限公司,,0920611,生產中,08食品製造業,089其他食品,,貢糖、茶點,,118.40905,24.4359055
石在砂石水泥預拌廠,96300011,08909020021304,金門縣金湖鎮蓮庵里三谿橋二十號,金門縣金湖鎮蓮庵里,陳有在,20128357,獨資,0890522,0891130,生產中,23非金屬礦物製品製造業,233水泥及其製品,,預拌混凝土,,118.434387,24.4265213
聖祖股份有限公司伯玉一廠,S8000001,,金門縣金寧鄉盤山村伯玉路二段301號,金門縣金寧鄉盤山村,陳緣姿,16846927,股份有限公司,,1090603,生產中,08食品製造業、08食品製造業,089其他食品,,,,,
發興輪胎廠,96300017,08009020012346,金門縣金寧鄉榜林村伯玉路一段二三０號,金門縣金寧鄉榜林村,許質恭　　,77265302,獨資,0801024,0801028,生產中,21橡膠製品製造業,210橡膠製品,,輪胎翻修，橡膠製品,,118.32782,24.4368153
李明源鋼鐵有限公司蓮庵廠,96300048,,金門縣金湖鎮蓮庵里庵邊二之四號,金門縣金湖鎮蓮庵里,呂秀華,89404928,股份有限公司,,0920502,生產中,25金屬製品製造業,252金屬結構及建築組件,,金屬製品,,118.442268,24.42434
