工廠名稱,工廠登記編號,工廠設立許可案號,工廠地址,工廠市鎮鄉村里,工廠負責人姓名,統一編號,工廠組織型態,工廠設立核准日期,工廠登記核准日期,工廠登記狀態,產業類別,主要產品,WebURL,ProductName,Material,Longitude,Latitude
津源商行,96200003,,連江縣南竿鄉津沙村32-1號,連江縣南竿鄉津沙村,曹以品,98991700,獨資,,0960118,生產中,09飲料製造業、09飲料製造業,091酒精飲料,,酒中酒、加味老酒,,119.917946,26.1458015
宏利釀醋廠,82000001,,連江縣南竿鄉介壽村26號,連江縣南竿鄉介壽村,黃克文,78736175,獨資,,1010627,生產中,09飲料製造業、09飲料製造業,092非酒精飲料,,、米醋、醋蜜,,119.951668,26.15993
馬祖酒廠實業股份有限公司東引廠,96200002,,連江縣東引鄉樂華村161號,連江縣東引鄉樂華村,陳秀華,16845434,股份有限公司,,0860110,生產中,09飲料製造業,091酒精飲料、092非酒精飲料,http://www.matsuwine.com.tw,馬祖陳高（小罈）、馬祖陳高１５年、陳年馬祖高粱酒、東湧陳高、配售酒、ＣＥＯ紀念酒,,120.490654,26.3641624
馬祖酒廠實業股份有限公司南竿廠,96200001,"86 96   001",連江縣南竿鄉復興村208號,連江縣南竿鄉復興村,陳秀華,16845434,股份有限公司,0861107,0861107,生產中,09飲料製造業,091酒精飲料、092非酒精飲料,http://www.matsuwine.com.tw,馬祖陳高（小罈）、馬祖陳高１５年、ＣＥＯ紀念酒、東湧陳,,119.956833,26.1611042
