工廠名稱,工廠登記編號,工廠設立許可案號,工廠地址,工廠市鎮鄉村里,工廠負責人姓名,統一編號,工廠組織型態,工廠設立核准日期,工廠登記核准日期,工廠登記狀態,產業類別,主要產品,WebURL,ProductName,Material,Longitude,Latitude
泰安冷氣機械有限公司,99627828,06310000128108,桃園市中壢區中原里忠孝路六三巷二○號,桃園市中壢區中原里,古元春　　　,43702348,有限公司,0580101,0640310,生產中,29機械設備製造業、30汽車及其零件製造業,293通用機械設備、303汽車零件,,,,,
百盈事業有限公司,03002037,,桃園市楊梅區高上里高獅路677號,桃園市楊梅區高上里,謝佩菁,24383392,有限公司,,1021127,生產中,29機械設備製造業,293通用機械設備,,五金工具、其他電子元件、金屬線製品,,121.161186,24.9255962
固利堅機械工業有限公司中壢廠,99628958,07310003079768,桃園市中壢區三民里環西路二段七一巷三二號,桃園市中壢區三民里,王世文　　　,20737443,有限公司,0730727,0730823,生產中,29機械設備製造業、27電腦、電子產品及光學製品製造業,292其他專用機械設備、271電腦及其週邊設備、293通用機械設備,,印刷機械,,121.2082,24.9634647
協舜企業社,99623861,07310003123105,桃園市平鎮區義民里延平路二段一三八號一樓,桃園市平鎮區義民里,黃秀葉　　　,45161466,獨資,0731005,0731027,生產中,26電子零組件製造業,269其他電子零組件,,電子、機械、五金、朔膠,鐵、銅、鋁、朔膠,121.211189,24.94844
烈宏企業股份有限公司,99625626,07410000036983,桃園市中壢區忠義里南園路二之一一號,桃園市中壢區忠義里,吳烈權　　　,45192307,股份有限公司,0740330,0770120,生產中,30汽車及其零件製造業、29機械設備製造業,303汽車零件、293通用機械設備,,模具,,121.238541,24.9684124
尚揚木業股份有限公司,99686288,07410000361600,桃園市桃園區中埔里永安路六五三巷三號,桃園市桃園區中埔里,楊宗條　　　,22501675,股份有限公司,0741204,0741204,生產中,14木竹製品製造業,140木竹製品,,木材,,121.293449,25.0061359
千莊針織有限公司,99686387,07410003007951,桃園市蘆竹區山鼻里內新路三六號,桃園市蘆竹區山鼻里,蘇明和　　　,45013331,有限公司,0740418,0750114,生產中,11紡織業,114染整,,紗,,121.28846,25.07024
翰生印刷事業有限公司,99628436,07610003051039,桃園市中壢區內定里內定二十街158巷50號,桃園市中壢區內定里,徐兆宗　　　,02634959,有限公司,0760512,0761230,生產中,16印刷及資料儲存媒體複製業,160印刷及資料儲存媒體複製,,紙張印刷,,121.234138,25.0033855
良奕工業有限公司平鎮廠,99717985,,桃園市平鎮區東勢里東龍街１１７８號,桃園市平鎮區東勢里,卓文明,23579496,有限公司,,0990106,生產中,29機械設備製造業,292其他專用機械設備,http://liangyee.com.tw,機械設備、平面顯示器貼合代工,,121.251007,24.9012032
新加科技有限公司,68000912,,桃園市龜山區文化里科技一路35號,桃園市龜山區文化里,麥金天,16361372,有限公司,,1051026,生產中,33其他製造業,332醫療器材及用品,,浮動座墊／氣墊床,,121.376945,25.051218
金映機械工業股份有限公司,99624328,08410003071874,桃園市八德區大發里和平路七七二巷一五號一樓,桃園市八德區大發里,張永金　　　,23405329,股份有限公司,0840701,0840708,生產中,29機械設備製造業、25金屬製品製造業,259其他金屬製品、293通用機械設備,http://chinying100.myweb.hinet.net,液晶顯示器、生產機械及零件,,121.318787,24.9564152
